Supplier_Daily_Inventory_ID,Supplier_ID,Purchased_Material_ID,Inventory_Qty,Inventory_Date
SDII000080,SID0002,MID0001,278,2025/03/21
SDII000081,SID0002,MID0001,268,2025/03/22
SDII000082,SID0002,MID0001,268,2025/03/23
SDII000083,SID0002,MID0001,268,2025/03/24
SDII000084,SID0002,MID0001,229,2025/03/25
SDII000085,SID0002,MID0001,228,2025/03/26
SDII000086,SID0002,MID0001,227,2025/03/27
SDII000087,SID0002,MID0001,178,2025/03/28
SDII000088,SID0002,MID0001,178,2025/03/29
SDII000089,SID0002,MID0001,178,2025/03/30
SDII000090,SID0002,MID0001,178,2025/03/31
SDII000091,SID0002,MID0001,401,2025/04/01
SDII000092,SID0002,MID0001,401,2025/04/02
SDII000093,SID0002,MID0001,378,2025/04/03
SDII000094,SID0002,MID0001,360,2025/04/04
SDII000095,SID0002,MID0001,320,2025/04/05
SDII000096,SID0002,MID0001,320,2025/04/06
SDII000097,SID0002,MID0001,320,2025/04/07
SDII000098,SID0002,MID0001,280,2025/04/08
SDII000099,SID0002,MID0001,229,2025/04/09
SDII000100,SID0002,MID0001,229,2025/04/10
SDII000101,SID0002,MID0001,229,2025/04/11
SDII000102,SID0002,MID0001,229,2025/04/12
SDII000103,SID0002,MID0001,229,2025/04/13
SDII000104,SID0002,MID0001,229,2025/04/14
SDII000105,SID0002,MID0001,200,2025/04/15
SDII000106,SID0002,MID0001,163,2025/04/16
SDII000107,SID0002,MID0001,346,2025/04/17
SDII000108,SID0002,MID0001,340,2025/04/18
SDII000109,SID0002,MID0001,340,2025/04/19
SDII000110,SID0002,MID0001,340,2025/04/20
SDII000111,SID0002,MID0001,340,2025/04/21
SDII000112,SID0002,MID0001,334,2025/04/22
SDII000113,SID0002,MID0001,308,2025/04/23
SDII000114,SID0002,MID0001,297,2025/04/24
SDII000115,SID0002,MID0001,269,2025/04/25
SDII000116,SID0002,MID0001,257,2025/04/26
SDII000117,SID0002,MID0001,257,2025/04/27
SDII000118,SID0002,MID0001,257,2025/04/28
SDII000119,SID0002,MID0001,240,2025/04/29
SDII000120,SID0002,MID0001,219,2025/04/30
SDII000121,SID0002,MID0001,400,2025/05/01
SDII000122,SID0002,MID0001,377,2025/05/02
SDII000123,SID0002,MID0001,377,2025/05/03
SDII000124,SID0002,MID0001,377,2025/05/04
SDII000125,SID0002,MID0001,377,2025/05/05
SDII000126,SID0002,MID0001,377,2025/05/06
SDII000127,SID0002,MID0001,351,2025/05/07
SDII000128,SID0002,MID0001,341,2025/05/08
SDII000129,SID0002,MID0001,318,2025/05/09
SDII000130,SID0002,MID0001,297,2025/05/10
SDII000131,SID0002,MID0001,297,2025/05/11
SDII000132,SID0002,MID0001,297,2025/05/12
SDII000133,SID0002,MID0001,247,2025/05/13
SDII000134,SID0002,MID0001,240,2025/05/14
SDII000135,SID0002,MID0001,215,2025/05/15
SDII000136,SID0002,MID0001,215,2025/05/16
SDII000137,SID0002,MID0001,215,2025/05/17
SDII000138,SID0002,MID0001,438,2025/05/18
SDII000139,SID0002,MID0001,438,2025/05/19
SDII000140,SID0002,MID0001,438,2025/05/20
SDII000141,SID0002,MID0001,438,2025/05/21
SDII000142,SID0002,MID0001,438,2025/05/22
SDII000143,SID0002,MID0001,398,2025/05/23
SDII000144,SID0002,MID0001,351,2025/05/24
SDII000145,SID0002,MID0001,351,2025/05/25
SDII000146,SID0002,MID0001,351,2025/05/26
SDII000147,SID0002,MID0001,351,2025/05/27
SDII000148,SID0002,MID0001,351,2025/05/28
SDII000149,SID0002,MID0001,351,2025/05/29
SDII000150,SID0002,MID0001,295,2025/05/30
SDII000151,SID0002,MID0001,253,2025/05/31
SDII000152,SID0002,MID0001,253,2025/06/01
SDII000153,SID0002,MID0001,253,2025/06/02
SDII000154,SID0002,MID0001,253,2025/06/03
SDII000155,SID0002,MID0001,253,2025/06/04
SDII000156,SID0002,MID0001,210,2025/06/05
SDII000157,SID0002,MID0001,421,2025/06/06
SDII000158,SID0002,MID0001,385,2025/06/07
SDII000159,SID0002,MID0001,385,2025/06/08
SDII000160,SID0002,MID0001,385,2025/06/09
SDII000161,SID0002,MID0001,385,2025/06/10
SDII000162,SID0002,MID0001,353,2025/06/11
SDII000163,SID0002,MID0001,320,2025/06/12
SDII000164,SID0002,MID0001,297,2025/06/13
SDII000165,SID0002,MID0001,297,2025/06/14
SDII000166,SID0002,MID0001,297,2025/06/15
SDII000167,SID0002,MID0001,297,2025/06/16
SDII000168,SID0002,MID0001,285,2025/06/17
SDII000169,SID0002,MID0001,262,2025/06/18
SDII000170,SID0002,MID0001,244,2025/06/19
SDII000171,SID0002,MID0001,227,2025/06/20
SDII000172,SID0002,MID0001,209,2025/06/21
SDII000173,SID0002,MID0001,432,2025/06/22
SDII000174,SID0002,MID0001,432,2025/06/23
SDII000175,SID0002,MID0001,432,2025/06/24
SDII000176,SID0002,MID0001,390,2025/06/25
SDII000177,SID0002,MID0001,368,2025/06/26
SDII000178,SID0002,MID0001,348,2025/06/27
SDII000179,SID0002,MID0001,335,2025/06/28
SDII000180,SID0002,MID0001,335,2025/06/29
SDII000181,SID0002,MID0001,335,2025/06/30
SDII000182,SID0002,MID0001,280,2025/07/01
SDII000183,SID0002,MID0001,261,2025/07/02
SDII000184,SID0002,MID0001,252,2025/07/03
SDII000185,SID0002,MID0001,242,2025/07/04
SDII000186,SID0002,MID0001,242,2025/07/05
SDII000187,SID0002,MID0001,242,2025/07/06
SDII000188,SID0002,MID0001,465,2025/07/07
SDII000189,SID0002,MID0001,449,2025/07/08
SDII000190,SID0002,MID0001,446,2025/07/09
SDII000191,SID0002,MID0001,415,2025/07/10
SDII000192,SID0002,MID0001,389,2025/07/11
SDII000193,SID0002,MID0001,373,2025/07/12
SDII000194,SID0002,MID0001,373,2025/07/13
SDII000195,SID0002,MID0001,373,2025/07/14
SDII000196,SID0002,MID0001,339,2025/07/15
SDII000197,SID0002,MID0001,337,2025/07/16
SDII000198,SID0002,MID0001,313,2025/07/17
SDII000199,SID0002,MID0001,296,2025/07/18
SDII000200,SID0002,MID0001,291,2025/07/19
SDII000201,SID0002,MID0001,291,2025/07/20
SDII000202,SID0002,MID0001,291,2025/07/21
SDII000203,SID0002,MID0001,274,2025/07/22
SDII000204,SID0002,MID0001,227,2025/07/23
SDII000205,SID0002,MID0001,212,2025/07/24
SDII000206,SID0002,MID0001,212,2025/07/25
SDII000207,SID0002,MID0001,212,2025/07/26
SDII000208,SID0002,MID0001,212,2025/07/27
SDII000209,SID0002,MID0001,212,2025/07/28
SDII000210,SID0002,MID0001,192,2025/07/29
SDII000211,SID0002,MID0001,392,2025/07/30
SDII000212,SID0002,MID0001,356,2025/07/31
SDII000213,SID0002,MID0001,356,2025/08/01
SDII000214,SID0002,MID0001,356,2025/08/02
SDII000215,SID0002,MID0001,356,2025/08/03
SDII000216,SID0002,MID0001,356,2025/08/04
SDII000217,SID0002,MID0001,348,2025/08/05
SDII000218,SID0002,MID0001,331,2025/08/06
SDII000219,SID0002,MID0001,307,2025/08/07
SDII000220,SID0002,MID0001,303,2025/08/08
SDII000221,SID0002,MID0001,282,2025/08/09
SDII000222,SID0002,MID0001,282,2025/08/10
SDII000223,SID0002,MID0001,282,2025/08/11
SDII000224,SID0002,MID0001,259,2025/08/12
SDII000225,SID0002,MID0001,237,2025/08/13
SDII000226,SID0002,MID0001,221,2025/08/14
SDII000227,SID0002,MID0001,200,2025/08/15
SDII000228,SID0002,MID0001,200,2025/08/16
SDII000229,SID0002,MID0001,200,2025/08/17
SDII000230,SID0002,MID0001,200,2025/08/18
SDII000231,SID0002,MID0001,142,2025/08/19
SDII000232,SID0002,MID0001,122,2025/08/20
SDII000233,SID0002,MID0001,345,2025/08/21
SDII000234,SID0002,MID0001,345,2025/08/22
SDII000235,SID0002,MID0001,345,2025/08/23
SDII000236,SID0002,MID0001,345,2025/08/24
SDII000237,SID0002,MID0001,345,2025/08/25
SDII000238,SID0002,MID0001,345,2025/08/26
SDII000239,SID0002,MID0001,330,2025/08/27
SDII000240,SID0002,MID0001,308,2025/08/28
SDII000241,SID0002,MID0001,288,2025/08/29
SDII000242,SID0002,MID0001,263,2025/08/30
SDII000243,SID0002,MID0001,263,2025/08/31
SDII000244,SID0002,MID0001,263,2025/09/01
SDII000245,SID0002,MID0001,263,2025/09/02
SDII000246,SID0002,MID0001,252,2025/09/03
SDII000247,SID0002,MID0001,229,2025/09/04
SDII000248,SID0002,MID0001,213,2025/09/05
SDII000249,SID0002,MID0001,195,2025/09/06
SDII000250,SID0002,MID0001,418,2025/09/07
SDII000251,SID0002,MID0001,418,2025/09/08
SDII000252,SID0002,MID0001,418,2025/09/09
SDII000253,SID0002,MID0001,413,2025/09/10
SDII000254,SID0002,MID0001,405,2025/09/11
SDII000255,SID0002,MID0001,361,2025/09/12
SDII000256,SID0002,MID0001,342,2025/09/13
SDII000257,SID0002,MID0001,342,2025/09/14
SDII000258,SID0002,MID0001,342,2025/09/15
SDII000259,SID0002,MID0001,342,2025/09/16
SDII000260,SID0002,MID0001,342,2025/09/17
SDII000261,SID0002,MID0001,342,2025/09/18
SDII000262,SID0002,MID0001,294,2025/09/19
SDII000263,SID0002,MID0001,264,2025/09/20
SDII000264,SID0002,MID0001,264,2025/09/21
SDII000265,SID0002,MID0001,264,2025/09/22
SDII000266,SID0002,MID0001,202,2025/09/23
SDII000267,SID0002,MID0001,192,2025/09/24
SDII000268,SID0002,MID0001,192,2025/09/25
SDII000269,SID0002,MID0001,192,2025/09/26
SDII000270,SID0002,MID0001,192,2025/09/27
SDII000271,SID0002,MID0001,192,2025/09/28
SDII000272,SID0002,MID0001,192,2025/09/29
SDII000273,SID0002,MID0001,192,2025/09/30
SDII000274,SID0002,MID0001,192,2025/10/01
SDII000275,SID0002,MID0001,192,2025/10/02
SDII000276,SID0002,MID0001,155,2025/10/03
SDII000277,SID0002,MID0001,348,2025/10/04
SDII000278,SID0002,MID0001,348,2025/10/05
SDII000279,SID0002,MID0001,348,2025/10/06
SDII000280,SID0002,MID0001,348,2025/10/07
SDII000281,SID0002,MID0001,348,2025/10/08
SDII000282,SID0002,MID0001,348,2025/10/09
SDII000283,SID0002,MID0001,288,2025/10/10
SDII000284,SID0002,MID0001,281,2025/10/11
SDII000285,SID0002,MID0001,281,2025/10/12
SDII000286,SID0002,MID0001,281,2025/10/13
SDII000287,SID0002,MID0001,281,2025/10/14
SDII000288,SID0002,MID0001,281,2025/10/15
SDII000289,SID0002,MID0001,264,2025/10/16
SDII000290,SID0002,MID0001,222,2025/10/17
SDII000291,SID0002,MID0001,222,2025/10/18
SDII000292,SID0002,MID0001,222,2025/10/19
SDII000293,SID0002,MID0001,445,2025/10/20
SDII000294,SID0002,MID0001,428,2025/10/21
SDII000295,SID0002,MID0001,416,2025/10/22
SDII000296,SID0002,MID0001,396,2025/10/23
SDII000297,SID0002,MID0001,390,2025/10/24
SDII000298,SID0002,MID0001,382,2025/10/25
SDII000299,SID0002,MID0001,382,2025/10/26
SDII000300,SID0002,MID0001,382,2025/10/27
SDII000301,SID0002,MID0001,382,2025/10/28
SDII000302,SID0002,MID0001,367,2025/10/29
SDII000303,SID0002,MID0001,353,2025/10/30
SDII000304,SID0002,MID0001,349,2025/10/31
SDII000305,SID0002,MID0001,311,2025/11/01
SDII000306,SID0002,MID0001,311,2025/11/02
SDII000307,SID0002,MID0001,311,2025/11/03
SDII000308,SID0002,MID0001,311,2025/11/04
SDII000309,SID0002,MID0001,311,2025/11/05
SDII000310,SID0002,MID0001,288,2025/11/06
SDII000311,SID0002,MID0001,272,2025/11/07
SDII000312,SID0002,MID0001,255,2025/11/08
SDII000313,SID0002,MID0001,255,2025/11/09
SDII000314,SID0002,MID0001,255,2025/11/10
SDII000315,SID0002,MID0001,234,2025/11/11
SDII000316,SID0002,MID0001,230,2025/11/12
SDII000317,SID0002,MID0001,215,2025/11/13
SDII000318,SID0002,MID0001,205,2025/11/14
SDII000319,SID0002,MID0001,196,2025/11/15
SDII000320,SID0002,MID0001,196,2025/11/16
SDII000321,SID0002,MID0001,196,2025/11/17
SDII000322,SID0002,MID0001,168,2025/11/18
SDII000323,SID0002,MID0001,159,2025/11/19
SDII000324,SID0002,MID0001,148,2025/11/20
SDII000325,SID0002,MID0001,136,2025/11/21
SDII000326,SID0002,MID0001,136,2025/11/22
SDII000327,SID0002,MID0001,136,2025/11/23
SDII000328,SID0002,MID0001,136,2025/11/24
SDII000329,SID0002,MID0001,136,2025/11/25
SDII000330,SID0002,MID0001,128,2025/11/26
SDII000331,SID0002,MID0001,103,2025/11/27
SDII000332,SID0002,MID0001,322,2025/11/28
SDII000333,SID0002,MID0001,298,2025/11/29
SDII000334,SID0002,MID0001,298,2025/11/30
SDII000335,SID0002,MID0001,298,2025/12/01
SDII000336,SID0002,MID0001,268,2025/12/02
SDII000337,SID0002,MID0001,262,2025/12/03
SDII000338,SID0002,MID0001,250,2025/12/04
SDII000339,SID0002,MID0001,239,2025/12/05
SDII000340,SID0002,MID0001,239,2025/12/06
SDII000341,SID0002,MID0001,239,2025/12/07
SDII000342,SID0002,MID0001,239,2025/12/08
SDII000343,SID0002,MID0001,239,2025/12/09
SDII000344,SID0002,MID0001,239,2025/12/10
SDII000345,SID0002,MID0001,412,2025/12/11
SDII000346,SID0002,MID0001,380,2025/12/12
SDII000347,SID0002,MID0001,367,2025/12/13
SDII000348,SID0002,MID0001,367,2025/12/14
SDII000349,SID0002,MID0001,367,2025/12/15
SDII000350,SID0002,MID0001,367,2025/12/16
SDII000351,SID0002,MID0001,361,2025/12/17
SDII000352,SID0002,MID0001,351,2025/12/18
SDII000353,SID0002,MID0001,310,2025/12/19
SDII000354,SID0002,MID0001,299,2025/12/20
SDII000355,SID0002,MID0001,299,2025/12/21
SDII000356,SID0002,MID0001,299,2025/12/22
SDII000357,SID0002,MID0001,293,2025/12/23
SDII000358,SID0002,MID0001,280,2025/12/24
SDII000359,SID0002,MID0001,269,2025/12/25
SDII000360,SID0002,MID0001,265,2025/12/26
SDII000361,SID0002,MID0001,229,2025/12/27
SDII000362,SID0002,MID0001,229,2025/12/28
SDII000363,SID0002,MID0001,229,2025/12/29
SDII000364,SID0002,MID0001,216,2025/12/30
SDII000365,SID0002,MID0001,203,2025/12/31
SDII000366,SID0002,MID0001,195,2026/01/01
SDII000367,SID0002,MID0020,139,2025/01/01
SDII000368,SID0002,MID0020,137,2025/01/02
SDII000369,SID0002,MID0020,104,2025/01/03
SDII000370,SID0002,MID0020,0,2025/01/04
SDII000371,SID0002,MID0020,0,2025/01/05
SDII000372,SID0002,MID0020,0,2025/01/06
SDII000373,SID0002,MID0020,0,2025/01/07
SDII000374,SID0002,MID0020,0,2025/01/08
SDII000375,SID0002,MID0020,0,2025/01/09
SDII000376,SID0002,MID0020,0,2025/01/10
SDII000377,SID0002,MID0020,0,2025/01/11
SDII000378,SID0002,MID0020,0,2025/01/12
SDII000379,SID0002,MID0020,0,2025/01/13
SDII000380,SID0002,MID0020,0,2025/01/14
SDII000381,SID0002,MID0020,0,2025/01/15
SDII000382,SID0002,MID0020,0,2025/01/16
SDII000383,SID0002,MID0020,361,2025/01/17
SDII000384,SID0002,MID0020,361,2025/01/18
SDII000385,SID0002,MID0020,361,2025/01/19
SDII000386,SID0002,MID0020,361,2025/01/20
SDII000387,SID0002,MID0020,361,2025/01/21
SDII000388,SID0002,MID0020,361,2025/01/22
SDII000389,SID0002,MID0020,356,2025/01/23
SDII000390,SID0002,MID0020,346,2025/01/24
SDII000391,SID0002,MID0020,313,2025/01/25
SDII000392,SID0002,MID0020,313,2025/01/26
SDII000393,SID0002,MID0020,313,2025/01/27
SDII000394,SID0002,MID0020,256,2025/01/28
SDII000395,SID0002,MID0020,198,2025/01/29
SDII000396,SID0002,MID0020,198,2025/01/30
SDII000397,SID0002,MID0020,198,2025/01/31
SDII000398,SID0002,MID0020,198,2025/02/01
SDII000399,SID0002,MID0020,198,2025/02/02
SDII000400,SID0002,MID0020,198,2025/02/03
SDII000401,SID0002,MID0020,198,2025/02/04
SDII000402,SID0002,MID0020,375,2025/02/05
SDII000403,SID0002,MID0020,375,2025/02/06
SDII000404,SID0002,MID0020,375,2025/02/07
SDII000405,SID0002,MID0020,375,2025/02/08
SDII000406,SID0002,MID0020,375,2025/02/09
SDII000407,SID0002,MID0020,375,2025/02/10
SDII000408,SID0002,MID0020,375,2025/02/11
SDII000409,SID0002,MID0020,283,2025/02/12
SDII000410,SID0002,MID0020,241,2025/02/13
SDII000411,SID0002,MID0020,241,2025/02/14
SDII000412,SID0002,MID0020,241,2025/02/15
SDII000413,SID0002,MID0020,241,2025/02/16
SDII000414,SID0002,MID0020,241,2025/02/17
SDII000415,SID0002,MID0020,241,2025/02/18
SDII000416,SID0002,MID0020,241,2025/02/19
SDII000417,SID0002,MID0020,241,2025/02/20
SDII000418,SID0002,MID0020,241,2025/02/21
SDII000419,SID0002,MID0020,189,2025/02/22
SDII000420,SID0002,MID0020,189,2025/02/23
SDII000421,SID0002,MID0020,389,2025/02/24
SDII000422,SID0002,MID0020,308,2025/02/25
SDII000423,SID0002,MID0020,308,2025/02/26
SDII000424,SID0002,MID0020,308,2025/02/27
SDII000425,SID0002,MID0020,308,2025/02/28
SDII000426,SID0002,MID0020,308,2025/03/01
SDII000427,SID0002,MID0020,308,2025/03/02
SDII000428,SID0002,MID0020,308,2025/03/03
SDII000429,SID0002,MID0020,308,2025/03/04
SDII000430,SID0002,MID0020,308,2025/03/05
SDII000431,SID0002,MID0020,308,2025/03/06
SDII000432,SID0002,MID0020,308,2025/03/07
SDII000433,SID0002,MID0020,308,2025/03/08
SDII000434,SID0002,MID0020,308,2025/03/09
SDII000435,SID0002,MID0020,308,2025/03/10
SDII000436,SID0002,MID0020,241,2025/03/11
SDII000437,SID0002,MID0020,207,2025/03/12
SDII000438,SID0002,MID0020,207,2025/03/13
SDII000439,SID0002,MID0020,207,2025/03/14
SDII000440,SID0002,MID0020,207,2025/03/15
SDII000441,SID0002,MID0020,207,2025/03/16
SDII000442,SID0002,MID0020,207,2025/03/17
SDII000443,SID0002,MID0020,207,2025/03/18
SDII000444,SID0002,MID0020,207,2025/03/19
SDII000445,SID0002,MID0020,207,2025/03/20
SDII000446,SID0002,MID0020,207,2025/03/21
SDII000447,SID0002,MID0020,207,2025/03/22
SDII000448,SID0002,MID0020,207,2025/03/23
SDII000449,SID0002,MID0020,207,2025/03/24
SDII000450,SID0002,MID0020,207,2025/03/25
SDII000451,SID0002,MID0020,172,2025/03/26
SDII000452,SID0002,MID0020,131,2025/03/27
SDII000453,SID0002,MID0020,404,2025/03/28
SDII000454,SID0002,MID0020,404,2025/03/29
SDII000455,SID0002,MID0020,404,2025/03/30
SDII000456,SID0002,MID0020,404,2025/03/31
SDII000457,SID0002,MID0020,404,2025/04/01
SDII000458,SID0002,MID0020,404,2025/04/02
SDII000459,SID0002,MID0020,404,2025/04/03
SDII000460,SID0002,MID0020,404,2025/04/04
SDII000461,SID0002,MID0020,404,2025/04/05
SDII000462,SID0002,MID0020,404,2025/04/06
SDII000463,SID0002,MID0020,404,2025/04/07
SDII000464,SID0002,MID0020,375,2025/04/08
SDII000465,SID0002,MID0020,311,2025/04/09
SDII000466,SID0002,MID0020,271,2025/04/10
SDII000467,SID0002,MID0020,271,2025/04/11
SDII000468,SID0002,MID0020,271,2025/04/12
SDII000469,SID0002,MID0020,271,2025/04/13
SDII000470,SID0002,MID0020,271,2025/04/14
SDII000471,SID0002,MID0020,271,2025/04/15
SDII000472,SID0002,MID0020,271,2025/04/16
SDII000473,SID0002,MID0020,271,2025/04/17
SDII000474,SID0002,MID0020,271,2025/04/18
SDII000475,SID0002,MID0020,271,2025/04/19
SDII000476,SID0002,MID0020,271,2025/04/20
SDII000477,SID0002,MID0020,271,2025/04/21
SDII000478,SID0002,MID0020,271,2025/04/22
SDII000479,SID0002,MID0020,271,2025/04/23
SDII000480,SID0002,MID0020,270,2025/04/24
SDII000481,SID0002,MID0020,251,2025/04/25
SDII000482,SID0002,MID0020,422,2025/04/26
SDII000483,SID0002,MID0020,422,2025/04/27
SDII000484,SID0002,MID0020,422,2025/04/28
SDII000485,SID0002,MID0020,365,2025/04/29
SDII000486,SID0002,MID0020,365,2025/04/30
SDII000487,SID0002,MID0020,365,2025/05/01
SDII000488,SID0002,MID0020,330,2025/05/02
SDII000489,SID0002,MID0020,304,2025/05/03
SDII000490,SID0002,MID0020,304,2025/05/04
SDII000491,SID0002,MID0020,304,2025/05/05
SDII000492,SID0002,MID0020,280,2025/05/06
SDII000493,SID0002,MID0020,268,2025/05/07
SDII000494,SID0002,MID0020,246,2025/05/08
SDII000495,SID0002,MID0020,246,2025/05/09
SDII000496,SID0002,MID0020,246,2025/05/10
SDII000497,SID0002,MID0020,246,2025/05/11
SDII000498,SID0002,MID0020,246,2025/05/12
SDII000499,SID0002,MID0020,246,2025/05/13
SDII000500,SID0002,MID0020,246,2025/05/14
SDII000501,SID0002,MID0020,246,2025/05/15
SDII000502,SID0002,MID0020,246,2025/05/16
SDII000503,SID0002,MID0020,246,2025/05/17
SDII000504,SID0002,MID0020,246,2025/05/18
SDII000505,SID0002,MID0020,246,2025/05/19
SDII000506,SID0002,MID0020,246,2025/05/20
SDII000507,SID0002,MID0020,246,2025/05/21
SDII000508,SID0002,MID0020,246,2025/05/22
SDII000509,SID0002,MID0020,233,2025/05/23
SDII000510,SID0002,MID0020,200,2025/05/24
SDII000511,SID0002,MID0020,400,2025/05/25
SDII000512,SID0002,MID0020,400,2025/05/26
SDII000513,SID0002,MID0020,397,2025/05/27
SDII000514,SID0002,MID0020,330,2025/05/28
SDII000515,SID0002,MID0020,330,2025/05/29
SDII000516,SID0002,MID0020,330,2025/05/30
SDII000517,SID0002,MID0020,330,2025/05/31
SDII000518,SID0002,MID0020,330,2025/06/01
SDII000519,SID0002,MID0020,330,2025/06/02
SDII000520,SID0002,MID0020,276,2025/06/03
SDII000521,SID0002,MID0020,275,2025/06/04
SDII000522,SID0002,MID0020,273,2025/06/05
SDII000523,SID0002,MID0020,220,2025/06/06
SDII000524,SID0002,MID0020,220,2025/06/07
SDII000525,SID0002,MID0020,220,2025/06/08
SDII000526,SID0002,MID0020,220,2025/06/09
SDII000527,SID0002,MID0020,220,2025/06/10
SDII000528,SID0002,MID0020,220,2025/06/11
SDII000529,SID0002,MID0020,220,2025/06/12
SDII000530,SID0002,MID0020,220,2025/06/13
SDII000531,SID0002,MID0020,220,2025/06/14
SDII000532,SID0002,MID0020,220,2025/06/15
SDII000533,SID0002,MID0020,220,2025/06/16
SDII000534,SID0002,MID0020,220,2025/06/17
SDII000535,SID0002,MID0020,220,2025/06/18
SDII000536,SID0002,MID0020,185,2025/06/19
SDII000537,SID0002,MID0020,161,2025/06/20
SDII000538,SID0002,MID0020,129,2025/06/21
SDII000539,SID0002,MID0020,256,2025/06/22
SDII000540,SID0002,MID0020,256,2025/06/23
SDII000541,SID0002,MID0020,238,2025/06/24
SDII000542,SID0002,MID0020,238,2025/06/25
SDII000543,SID0002,MID0020,238,2025/06/26
SDII000544,SID0002,MID0020,238,2025/06/27
SDII000545,SID0002,MID0020,238,2025/06/28
SDII000546,SID0002,MID0020,238,2025/06/29
SDII000547,SID0002,MID0020,238,2025/06/30
SDII000548,SID0002,MID0020,238,2025/07/01
SDII000549,SID0002,MID0020,238,2025/07/02
SDII000550,SID0002,MID0020,238,2025/07/03
SDII000551,SID0002,MID0020,238,2025/07/04
SDII000552,SID0002,MID0020,231,2025/07/05
SDII000553,SID0002,MID0020,231,2025/07/06
SDII000554,SID0002,MID0020,231,2025/07/07
SDII000555,SID0002,MID0020,400,2025/07/08
