Order_ID,Purchasing_Supplier_ID,Purchased_Material_ID,Supplying_Supplier_ID,Theoretical_Capacity,Purchase_Quantity,Material_Unit_Price,Order_Amount,Order_Create_Date,Order_Delivery_Date,Promised_Delivery_Date,Defective_Quantity,Incoming_Total_Qty,Material_Inspection_Indicator,Actual_Settlement_Amount,Is_Qualified_Supplier,Is_Returned,Is_Delayed,Delayed_Delivery_Cost
OID0024,SID0020,MID0003,SID0011,717,120,84.02,10082.4,2025/01/01,2025/01/14,2025/01/15,0,122,341.9703,10250.44,1,0,0,0
OID0025,SID0021,MID0005,SID0015,696,270,219.68,59313.6,2025/01/01,2025/01/14,2025/01/15,0,273,311.9893,59972.64,1,0,0,0
OID0026,SID0004,MID0007,SID0003,1118,1040,13.6,14144.0,2025/01/01,2025/01/15,2025/01/16,35,1016,267.7668,13817.6,1,1,0,0
OID0027,SID0018,MID0007,SID0003,1045,150,13.69,2053.5,2025/01/01,2025/01/15,2025/01/13,0,152,464.3476,2080.88,1,0,1,9.58
OID0028,SID0020,MID0003,SID0015,638,72,83.4,6004.8,2025/01/01,2025/01/15,2025/01/15,0,73,286.149,6088.2,1,0,0,0
OID0029,SID0020,MID0017,SID0009,1208,378,7.16,2706.48,2025/01/01,2025/01/15,2025/01/17,0,382,201.9193,2735.12,1,0,0,0
OID0030,SID0002,MID0020,SID0010,1432,396,5.87,2324.52,2025/01/01,2025/01/16,2025/01/14,39,361,363.4989,2119.07,1,1,1,4.11
OID0031,SID0021,MID0018,SID0013,748,120,135.26,16231.2,2025/01/01,2025/01/16,2025/01/13,0,122,344.3117,16501.72,1,0,1,142.02
OID0032,SID0008,MID0022,SID0021,237,140,898.47,125785.8,2025/01/01,2025/01/17,2025/01/14,0,142,394.0422,127582.74,1,0,1,943.39
OID0033,SID0008,MID0023,SID0018,561,72,1286.65,92638.8,2025/01/01,2025/01/17,2025/01/15,0,73,20.0763,93925.45,1,0,1,900.66
OID0034,SID0015,MID0025,SID0010,1361,288,3.08,887.04,2025/01/01,2025/01/17,2025/01/17,0,291,432.8962,896.28,1,0,0,0
OID0035,SID0011,MID0008,SID0012,1182,1140,15.56,17738.4,2025/01/01,2025/01/18,2025/01/14,0,1152,449.0581,17925.12,1,0,1,21.78
OID0036,SID0018,MID0002,SID0002,1096,100,98.94,9894.0,2025/01/01,2025/01/18,2025/01/20,0,101,337.6528,9992.94,1,0,0,0
OID0037,SID0017,MID0001,SID0001,851,225,5.11,1149.75,2025/01/01,2025/01/19,2025/01/16,0,228,423.1051,1165.08,1,0,1,5.37
OID0038,SID0017,MID0004,SID0014,647,480,1.96,940.8,2025/01/01,2025/01/19,2025/01/20,0,485,427.0305,950.6,1,0,0,0
OID0039,SID0019,MID0010,SID0012,627,490,15.59,7639.1,2025/01/01,2025/01/19,2025/01/15,0,495,197.1025,7717.05,1,0,1,21.83
OID0040,SID0020,MID0014,SID0006,1000,216,204.39,44148.24,2025/01/01,2025/01/19,2025/01/21,0,219,138.2662,44761.41,1,0,0,0
OID0041,SID0008,MID0012,SID0020,402,25,1114.66,27866.5,2025/01/01,2025/01/21,2025/01/17,0,26,486.6822,28981.16,1,0,1,1560.52
OID0042,SID0018,MID0004,SID0014,2111,2016,2.05,4132.8,2025/01/01,2025/01/21,2025/01/21,0,2037,457.6342,4175.85,1,0,0,0
OID0043,SID0015,MID0020,SID0014,2692,2480,6.17,15301.6,2025/01/01,2025/01/22,2025/01/20,0,2505,411.7749,15455.85,1,0,1,4.32
OID0044,SID0018,MID0020,SID0014,2293,2200,6.13,13486.0,2025/01/01,2025/01/22,2025/01/20,0,2222,359.2504,13620.86,1,0,1,4.29
OID0045,SID0020,MID0011,SID0011,741,80,91.92,7353.6,2025/01/01,2025/01/22,2025/01/20,0,81,376.6557,7445.52,1,0,1,64.34
OID0046,SID0015,MID0007,SID0003,5159,4536,14.38,65227.68,2025/01/01,2025/01/23,2025/01/21,0,4582,461.1175,65889.16,1,0,1,10.07
OID0047,SID0019,MID0016,SID0021,1090,1008,14.32,14434.56,2025/01/01,2025/01/23,2025/01/20,0,1019,131.9331,14592.08,0,0,1,15.04
OID0048,SID0017,MID0018,SID0013,637,96,134.87,12947.52,2025/01/01,2025/01/24,2025/01/20,0,97,342.6549,13082.39,1,0,1,188.82
OID0049,SID0021,MID0001,SID0001,866,686,5.12,3512.32,2025/01/01,2025/01/24,2025/01/20,0,693,446.7336,3548.16,0,0,1,7.17
OID0050,SID0018,MID0021,SID0011,848,378,201.37,76117.86,2025/01/01,2025/01/25,2025/01/21,0,382,441.5464,76923.34,1,0,1,281.92
OID0051,SID0021,MID0004,SID0010,1184,175,1.94,339.5,2025/01/07,2025/01/11,2025/01/13,0,177,449.7841,343.38,1,0,0,0
OID0052,SID0021,MID0005,SID0015,701,270,209.06,56446.2,2025/01/07,2025/01/21,2025/01/21,20,253,171.7875,52892.18,1,1,0,0
OID0053,SID0021,MID0005,SID0004,744,54,219.39,11847.06,2025/01/07,2025/01/24,2025/01/21,0,55,134.3603,12066.45,0,0,1,230.36
OID0054,SID0018,MID0002,SID0002,1096,120,98.53,11823.6,2025/01/07,2025/01/25,2025/01/27,0,122,344.6294,12020.66,1,0,0,0
OID0055,SID0007,MID0020,SID0014,732,624,5.84,3644.16,2025/01/09,2025/01/21,2025/01/20,23,608,378.9107,3550.72,1,1,1,2.04
OID0056,SID0008,MID0012,SID0020,534,20,1174.71,23494.2,2025/01/09,2025/01/28,2025/01/27,0,21,486.0502,24668.91,1,0,1,411.15
OID0057,SID0020,MID0017,SID0009,1496,252,7.2,1814.4,2025/01/09,2025/01/29,2025/01/27,0,255,210.4641,1836.0,0,0,1,5.04
OID0058,SID0019,MID0015,SID0007,1016,60,138.56,8313.6,2025/01/10,2025/01/16,2025/01/16,0,61,461.5301,8452.16,1,0,0,0
OID0059,SID0007,MID0017,SID0012,923,888,7.15,6349.2,2025/01/10,2025/01/18,2025/01/16,0,897,200.1864,6413.55,1,0,1,5.01
OID0060,SID0013,MID0020,SID0014,817,360,6.18,2224.8,2025/01/10,2025/01/18,2025/01/15,0,364,353.6224,2249.52,1,0,1,6.49
OID0061,SID0004,MID0020,SID0014,807,160,6.17,987.2,2025/01/13,2025/01/19,2025/01/20,0,162,358.6705,999.54,1,0,0,0
OID0062,SID0019,MID0015,SID0007,1172,60,139.18,8350.8,2025/01/13,2025/01/19,2025/01/20,0,61,459.5102,8489.98,1,0,0,0
OID0063,SID0019,MID0013,SID0018,425,70,74.79,5235.3,2025/01/13,2025/01/20,2025/01/21,0,71,399.1071,5310.09,1,0,0,0
OID0064,SID0011,MID0001,SID0001,922,108,4.88,527.04,2025/01/13,2025/01/23,2025/01/20,0,110,424.1381,536.8,1,0,1,5.12
OID0065,SID0011,MID0007,SID0014,770,352,14.42,5075.84,2025/01/14,2025/01/25,2025/01/22,26,330,318.1024,4758.6,1,1,1,15.14
OID0066,SID0006,MID0010,SID0005,1091,170,16.39,2786.3,2025/01/15,2025/01/22,2025/01/20,0,172,231.8019,2819.08,0,0,1,11.47
OID0067,SID0011,MID0008,SID0012,721,684,16.46,11258.64,2025/01/15,2025/01/27,2025/01/28,0,691,443.3261,11373.86,1,0,0,0
OID0068,SID0020,MID0003,SID0015,759,48,79.36,3809.28,2025/01/15,2025/01/30,2025/01/29,0,49,270.819,3888.64,1,0,1,27.78
OID0069,SID0021,MID0018,SID0013,572,90,141.95,12775.5,2025/01/15,2025/01/30,2025/01/27,0,91,275.7819,12917.45,1,0,1,149.05
OID0070,SID0006,MID0020,SID0014,786,620,6.17,3825.4,2025/01/15,2025/01/31,2025/01/27,0,627,373.8889,3868.59,1,0,1,8.64
OID0071,SID0020,MID0003,SID0011,830,96,79.77,7657.92,2025/01/15,2025/01/31,2025/01/29,0,97,275.8556,7737.69,1,0,1,55.84
OID0072,SID0011,MID0020,SID0010,1324,804,6.18,4968.72,2025/01/16,2025/01/25,2025/01/23,67,746,348.9202,4610.28,0,1,1,4.33
OID0073,SID0018,MID0007,SID0003,1044,75,14.4,1080.0,2025/01/16,2025/01/25,2025/01/27,0,76,337.6858,1094.4,1,0,0,0
OID0074,SID0018,MID0007,SID0010,1270,150,14.41,2161.5,2025/01/16,2025/01/31,2025/01/27,12,140,434.4754,2017.4,1,1,1,20.17
OID0075,SID0020,MID0011,SID0011,630,60,96.59,5795.4,2025/01/16,2025/02/07,2025/02/04,0,61,390.2631,5891.99,1,0,1,101.42
OID0076,SID0021,MID0004,SID0010,1374,175,1.94,339.5,2025/01/17,2025/01/20,2025/01/22,0,177,434.4562,343.38,1,0,0,0
OID0077,SID0013,MID0016,SID0009,1331,360,14.33,5158.8,2025/01/17,2025/01/31,2025/01/27,34,330,136.8653,4728.9,0,1,1,20.06
OID0078,SID0013,MID0016,SID0012,736,180,13.66,2458.8,2025/01/17,2025/01/31,2025/01/27,0,182,60.5672,2486.12,0,0,1,19.12
OID0079,SID0002,MID0025,SID0010,1278,180,2.93,527.4,2025/01/17,2025/02/01,2025/01/28,0,182,419.3931,533.26,1,0,1,4.1
OID0080,SID0019,MID0010,SID0012,609,294,16.37,4812.78,2025/01/17,2025/02/04,2025/01/31,0,297,203.7999,4861.89,0,0,1,22.92
OID0081,SID0002,MID0001,SID0001,998,220,5.12,1126.4,2025/01/20,2025/02/01,2025/01/31,0,223,443.1415,1141.76,1,0,1,1.79
OID0082,SID0019,MID0016,SID0021,560,504,14.32,7217.28,2025/01/20,2025/02/07,2025/02/07,0,510,221.0132,7303.2,1,0,0,0
OID0083,SID0021,MID0001,SID0001,1125,392,4.88,1912.96,2025/01/20,2025/02/09,2025/02/10,0,396,425.4353,1932.48,1,0,0,0
OID0084,SID0007,MID0020,SID0014,843,624,6.15,3837.6,2025/01/21,2025/01/28,2025/01/30,0,631,372.8586,3880.65,1,0,0,0
OID0085,SID0011,MID0025,SID0010,1363,90,3.08,277.2,2025/01/21,2025/01/30,2025/01/27,0,91,456.6111,280.28,1,0,1,3.23
OID0086,SID0004,MID0020,SID0014,820,160,6.13,980.8,2025/01/21,2025/01/31,2025/01/27,10,152,392.2975,931.76,1,1,1,8.58
OID0087,SID0004,MID0007,SID0003,921,520,13.63,7087.6,2025/01/21,2025/02/07,2025/02/05,0,526,242.1109,7169.38,1,0,1,9.54
OID0088,SID0015,MID0020,SID0014,2068,1860,6.16,11457.6,2025/01/21,2025/02/12,2025/02/10,0,1879,356.4371,11574.64,1,0,1,4.31
OID0089,SID0007,MID0017,SID0012,920,888,7.18,6375.84,2025/01/22,2025/01/26,2025/01/28,0,897,216.6396,6440.46,1,0,0,0
OID0090,SID0011,MID0001,SID0001,1142,108,5.14,555.12,2025/01/22,2025/01/28,2025/01/28,0,110,443.2476,565.4,1,0,0,0
OID0091,SID0013,MID0020,SID0014,786,360,6.13,2206.8,2025/01/22,2025/01/29,2025/01/27,0,364,359.8146,2231.32,0,0,1,4.29
OID0092,SID0008,MID0022,SID0021,262,80,943.51,75480.8,2025/01/22,2025/02/06,2025/02/04,7,74,394.0601,69819.74,1,1,1,660.46
OID0093,SID0008,MID0024,SID0019,509,54,957.17,51687.18,2025/01/22,2025/02/06,2025/02/03,0,55,64.4536,52644.35,1,0,1,1005.03
OID0094,SID0015,MID0025,SID0010,1349,144,2.94,423.36,2025/01/22,2025/02/06,2025/02/07,0,146,409.0967,429.24,0,0,0,0
OID0095,SID0008,MID0022,SID0017,681,20,946.88,18937.6,2025/01/22,2025/02/07,2025/02/04,0,21,394.3743,19884.48,1,0,1,994.22
OID0096,SID0018,MID0004,SID0014,1313,1260,2.04,2570.4,2025/01/22,2025/02/13,2025/02/11,0,1273,456.0467,2596.92,1,0,1,1.43
OID0097,SID0018,MID0020,SID0014,1078,1000,5.85,5850.0,2025/01/22,2025/02/14,2025/02/10,0,1010,387.9527,5908.5,0,0,1,8.19
OID0098,SID0019,MID0013,SID0018,504,140,74.8,10472.0,2025/01/23,2025/01/30,2025/01/31,0,142,414.9833,10621.6,1,0,0,0
OID0099,SID0018,MID0008,SID0016,574,144,15.57,2242.08,2025/01/23,2025/02/03,2025/02/03,0,146,442.8623,2273.22,1,0,0,0
OID0100,SID0002,MID0020,SID0010,1308,198,5.87,1162.26,2025/01/23,2025/02/04,2025/02/05,23,177,390.9735,1038.99,1,1,0,0
OID0101,SID0017,MID0001,SID0001,1019,180,4.87,876.6,2025/01/23,2025/02/10,2025/02/07,0,182,423.0713,886.34,1,0,1,5.11
OID0102,SID0019,MID0015,SID0007,842,60,138.9,8334.0,2025/01/27,2025/02/01,2025/02/03,0,61,444.3848,8472.9,1,0,0,0
OID0103,SID0006,MID0010,SID0005,1249,170,16.48,2801.6,2025/01/27,2025/02/05,2025/02/03,0,172,199.1147,2834.56,1,0,1,11.54
OID0104,SID0011,MID0007,SID0014,619,352,13.71,4825.92,2025/01/27,2025/02/06,2025/02/04,0,356,228.1737,4880.76,1,0,1,9.6
OID0105,SID0017,MID0004,SID0014,634,240,1.96,470.4,2025/01/27,2025/02/21,2025/02/17,0,243,451.0909,476.28,1,0,1,2.74
OID0106,SID0021,MID0004,SID0010,1260,350,1.96,686.0,2025/01/28,2025/02/02,2025/02/03,0,354,429.8232,693.84,1,0,0,0
OID0107,SID0020,MID0014,SID0006,803,96,194.03,18626.88,2025/01/28,2025/02/15,2025/02/17,11,86,212.6057,16686.58,1,1,0,0
OID0108,SID0013,MID0020,SID0014,795,360,6.12,2203.2,2025/01/29,2025/02/02,2025/02/03,0,364,342.8444,2227.68,1,0,0,0
OID0109,SID0011,MID0025,SID0010,1534,90,3.07,276.3,2025/01/29,2025/02/06,2025/02/04,0,91,447.6146,279.37,1,0,1,2.15
OID0110,SID0011,MID0020,SID0010,1524,804,6.16,4952.64,2025/01/29,2025/02/09,2025/02/05,0,813,394.7841,5008.08,1,0,1,8.62
OID0111,SID0015,MID0007,SID0003,2342,2268,14.39,32636.52,2025/01/29,2025/02/22,2025/02/18,0,2291,437.3647,32967.49,0,0,1,20.15
OID0112,SID0013,MID0017,SID0009,1409,96,6.79,651.84,2025/01/30,2025/02/11,2025/02/12,0,97,200.0503,658.63,1,0,0,0
OID0113,SID0018,MID0007,SID0003,974,75,13.61,1020.75,2025/02/03,2025/02/12,2025/02/14,0,76,347.688,1034.36,0,0,0,0
OID0114,SID0018,MID0007,SID0010,1411,75,13.69,1026.75,2025/02/03,2025/02/18,2025/02/14,0,76,176.2938,1040.44,1,0,1,19.17
OID0115,SID0006,MID0020,SID0014,693,620,5.84,3620.8,2025/02/04,2025/02/15,2025/02/17,0,627,355.2364,3661.68,1,0,0,0
OID0116,SID0011,MID0008,SID0012,768,684,16.47,11265.48,2025/02/04,2025/02/16,2025/02/17,71,620,445.8528,10211.4,1,1,0,0
OID0117,SID0019,MID0010,SID0012,658,294,16.32,4798.08,2025/02/04,2025/02/17,2025/02/18,14,283,237.6457,4618.56,0,1,0,0
OID0118,SID0002,MID0025,SID0010,1320,240,3.07,736.8,2025/02/04,2025/02/18,2025/02/17,0,243,428.3319,746.01,1,0,1,1.07
OID0119,SID0008,MID0012,SID0020,414,65,1122.01,72930.65,2025/02/04,2025/02/19,2025/02/20,0,66,485.1952,74052.66,1,0,0,0
OID0120,SID0018,MID0021,SID0011,854,315,191.75,60401.25,2025/02/04,2025/02/25,2025/02/24,0,319,443.7698,61168.25,1,0,1,67.11
OID0121,SID0006,MID0010,SID0005,1138,170,16.36,2781.2,2025/02/05,2025/02/08,2025/02/10,0,172,332.4714,2813.92,0,0,0,0
OID0122,SID0004,MID0020,SID0014,662,240,5.82,1396.8,2025/02/05,2025/02/10,2025/02/11,0,243,339.569,1414.26,1,0,0,0
OID0123,SID0007,MID0017,SID0012,990,888,7.2,6393.6,2025/02/05,2025/02/11,2025/02/11,0,897,209.0596,6458.4,0,0,0,0
OID0124,SID0011,MID0001,SID0001,891,108,5.11,551.88,2025/02/05,2025/02/11,2025/02/11,10,100,433.2698,511.0,1,1,0,0
OID0125,SID0007,MID0020,SID0014,769,624,6.18,3856.32,2025/02/05,2025/02/15,2025/02/14,0,631,338.4131,3899.58,1,0,1,2.16
OID0126,SID0018,MID0008,SID0016,722,144,15.61,2247.84,2025/02/05,2025/02/15,2025/02/14,0,146,438.2746,2279.06,1,0,1,5.46
OID0127,SID0008,MID0022,SID0017,769,20,942.6,18852.0,2025/02/05,2025/02/16,2025/02/18,0,21,393.8753,19794.6,0,0,0,0
OID0128,SID0019,MID0013,SID0018,479,140,71.12,9956.8,2025/02/05,2025/02/17,2025/02/13,0,142,481.0503,10099.04,0,0,1,99.57
OID0129,SID0008,MID0022,SID0021,276,80,900.53,72042.4,2025/02/05,2025/02/18,2025/02/18,0,81,393.8674,72942.93,1,0,0,0
OID0130,SID0002,MID0001,SID0001,889,220,4.89,1075.8,2025/02/05,2025/02/21,2025/02/17,0,223,420.221,1090.47,1,0,1,6.85
OID0131,SID0019,MID0015,SID0007,1029,90,131.92,11872.8,2025/02/06,2025/02/13,2025/02/12,0,91,455.62,12004.72,0,0,1,46.17
OID0132,SID0021,MID0018,SID0013,787,90,135.4,12186.0,2025/02/09,2025/02/21,2025/02/19,0,91,300.506,12321.4,1,0,1,94.78
OID0133,SID0002,MID0020,SID0010,1248,198,5.87,1162.26,2025/02/09,2025/02/23,2025/02/24,0,200,353.5386,1174.0,1,0,0,0
OID0134,SID0013,MID0020,SID0014,691,360,5.84,2102.4,2025/02/10,2025/02/17,2025/02/17,0,364,345.6914,2125.76,1,0,0,0
OID0135,SID0021,MID0004,SID0010,1244,175,1.96,343.0,2025/02/10,2025/02/20,2025/02/17,0,177,403.7985,346.92,0,0,1,2.06
OID0136,SID0008,MID0012,SID0020,430,50,1119.79,55989.5,2025/02/10,2025/02/24,2025/02/26,0,51,491.7353,57109.29,1,0,0,0
OID0137,SID0008,MID0024,SID0019,490,90,907.06,81635.4,2025/02/10,2025/02/25,2025/02/24,0,91,89.6208,82542.46,1,0,1,317.47
OID0138,SID0018,MID0020,SID0014,1047,1000,6.15,6150.0,2025/02/10,2025/03/03,2025/02/27,0,1010,414.4447,6211.5,0,0,1,8.61
OID0139,SID0011,MID0025,SID0010,1353,90,3.08,277.2,2025/02/11,2025/02/17,2025/02/17,0,91,438.7222,280.28,1,0,0,0
OID0140,SID0013,MID0016,SID0012,815,180,13.58,2444.4,2025/02/11,2025/02/21,2025/02/21,0,182,157.4701,2471.56,0,0,0,0
OID0141,SID0013,MID0016,SID0009,1171,180,14.41,2593.8,2025/02/11,2025/02/24,2025/02/21,0,182,269.8464,2622.62,0,0,1,15.13
OID0142,SID0011,MID0001,SID0001,1118,108,5.1,550.8,2025/02/12,2025/02/17,2025/02/18,0,110,437.8145,561.0,1,0,0,0
OID0143,SID0011,MID0008,SID0012,762,684,15.65,10704.6,2025/02/12,2025/02/25,2025/02/25,0,691,451.5822,10814.15,1,0,0,0
OID0144,SID0017,MID0018,SID0013,618,48,134.3,6446.4,2025/02/12,2025/03/02,2025/03/03,0,49,380.2971,6580.7,1,0,0,0
OID0145,SID0011,MID0020,SID0010,1305,804,5.82,4679.28,2025/02/13,2025/02/18,2025/02/20,0,813,378.2868,4731.66,1,0,0,0
OID0146,SID0018,MID0007,SID0003,960,75,14.31,1073.25,2025/02/13,2025/02/23,2025/02/24,0,76,419.8084,1087.56,1,0,0,0
OID0147,SID0018,MID0007,SID0010,1524,150,13.71,2056.5,2025/02/13,2025/02/23,2025/02/24,0,152,418.9485,2083.92,0,0,0,0
OID0148,SID0020,MID0014,SID0006,967,144,204.02,29378.88,2025/02/16,2025/03/09,2025/03/10,0,146,161.6885,29786.92,1,0,0,0
OID0149,SID0006,MID0010,SID0005,1207,170,15.66,2662.2,2025/02/17,2025/02/23,2025/02/24,0,172,303.1759,2693.52,1,0,0,0
OID0150,SID0013,MID0020,SID0014,578,360,5.85,2106.0,2025/02/17,2025/02/24,2025/02/24,20,344,340.3139,2012.4,1,1,0,0
OID0151,SID0007,MID0020,SID0014,721,624,6.12,3818.88,2025/02/17,2025/02/28,2025/02/26,0,631,379.1755,3861.72,1,0,1,4.28
OID0152,SID0004,MID0007,SID0003,950,520,14.28,7425.6,2025/02/17,2025/03/04,2025/03/04,0,526,124.7534,7511.28,1,0,0,0
OID0153,SID0020,MID0017,SID0009,1298,189,7.2,1360.8,2025/02/17,2025/03/07,2025/03/05,16,175,205.2124,1260.0,0,1,1,5.04
OID0154,SID0019,MID0016,SID0021,558,504,14.3,7207.2,2025/02/17,2025/03/11,2025/03/07,0,510,137.0226,7293.0,1,0,1,20.02
OID0155,SID0021,MID0004,SID0010,1299,175,2.05,358.75,2025/02/18,2025/02/24,2025/02/24,6,171,373.8793,350.55,1,1,0,0
OID0156,SID0011,MID0025,SID0010,1433,90,3.08,277.2,2025/02/18,2025/02/27,2025/02/24,0,91,454.9946,280.28,0,0,1,3.23
OID0157,SID0011,MID0007,SID0014,828,352,13.67,4811.84,2025/02/18,2025/02/28,2025/02/26,16,340,228.7419,4647.8,1,1,1,9.57
OID0158,SID0020,MID0011,SID0011,687,40,96.54,3861.6,2025/02/18,2025/03/09,2025/03/10,0,41,421.8891,3958.14,1,0,0,0
OID0159,SID0007,MID0017,SID0012,1508,1332,6.8,9057.6,2025/02/19,2025/03/01,2025/02/25,0,1346,214.4556,9152.8,0,0,1,9.52
OID0160,SID0006,MID0020,SID0014,734,620,6.13,3800.6,2025/02/19,2025/03/02,2025/03/03,0,627,365.3058,3843.51,1,0,0,0
OID0161,SID0018,MID0004,SID0014,1133,1008,2.05,2066.4,2025/02/19,2025/03/12,2025/03/11,0,1019,406.7059,2088.95,1,0,1,0.72
OID0162,SID0004,MID0020,SID0014,700,160,6.18,988.8,2025/02/20,2025/03/01,2025/02/26,0,162,358.7766,1001.16,1,0,1,6.49
OID0163,SID0020,MID0017,SID0009,1436,252,6.86,1728.72,2025/02/20,2025/03/08,2025/03/10,0,255,201.4546,1749.3,1,0,0,0
OID0164,SID0011,MID0001,SID0001,932,108,4.87,525.96,2025/02/21,2025/03/01,2025/02/27,0,110,439.0421,535.7,1,0,1,3.41
OID0165,SID0019,MID0013,SID0018,568,140,75.2,10528.0,2025/02/21,2025/03/02,2025/03/03,0,142,406.2853,10678.4,1,0,0,0
OID0166,SID0011,MID0020,SID0010,1306,804,5.83,4687.32,2025/02/24,2025/03/02,2025/03/03,0,813,400.4701,4739.79,1,0,0,0
OID0167,SID0018,MID0008,SID0016,666,144,15.59,2244.96,2025/02/24,2025/03/07,2025/03/05,0,146,447.3741,2276.14,1,0,1,10.91
OID0168,SID0019,MID0010,SID0012,692,294,16.32,4798.08,2025/02/24,2025/03/08,2025/03/10,0,297,357.3857,4847.04,0,0,0,0
OID0169,SID0002,MID0025,SID0010,1140,180,2.91,523.8,2025/02/24,2025/03/09,2025/03/07,0,182,429.2364,529.62,1,0,1,2.04
OID0170,SID0015,MID0025,SID0010,1364,144,2.92,420.48,2025/02/24,2025/03/13,2025/03/12,0,146,444.8848,426.32,1,0,1,1.02
OID0171,SID0017,MID0001,SID0001,1039,135,4.88,658.8,2025/02/24,2025/03/14,2025/03/11,0,137,431.7651,668.56,0,0,1,5.12
OID0172,SID0006,MID0010,SID0005,1310,170,16.44,2794.8,2025/02/25,2025/03/03,2025/03/03,0,172,257.0898,2827.68,1,0,0,0
OID0173,SID0007,MID0020,SID0014,648,624,5.85,3650.4,2025/02/26,2025/03/06,2025/03/07,0,631,397.3381,3691.35,1,0,0,0
OID0174,SID0013,MID0020,SID0014,676,360,5.82,2095.2,2025/02/26,2025/03/07,2025/03/03,0,364,413.3369,2118.48,0,0,1,8.15
OID0175,SID0021,MID0005,SID0015,790,108,210.03,22683.24,2025/02/26,2025/03/10,2025/03/12,0,110,195.5375,23103.3,1,0,0,0
