Supplier_Material_Flow_Event_ID,Supplier_ID,Material_ID,Event_Date,Event_Type,Quantity_Change,Source_Type,Source_ID
SMFEID0029,SID0007,MID0020,2025/01/02,production_consumption,-19,production_run,PRUN_SID0007_MID0020_001
SMFEID0030,SID0011,MID0001,2025/01/02,production_consumption,-15,production_run,PRUN_SID0011_MID0001_001
SMFEID0031,SID0011,MID0007,2025/01/02,production_consumption,-52,production_run,PRUN_SID0011_MID0007_001
SMFEID0032,SID0011,MID0008,2025/01/02,production_consumption,-76,production_run,PRUN_SID0011_MID0008_001
SMFEID0033,SID0011,MID0020,2025/01/02,production_consumption,-51,production_run,PRUN_SID0011_MID0020_001
SMFEID0034,SID0011,MID0025,2025/01/02,production_consumption,-14,production_run,PRUN_SID0011_MID0025_001
SMFEID0035,SID0013,MID0016,2025/01/02,production_consumption,-74,production_run,PRUN_SID0013_MID0016_001
SMFEID0036,SID0013,MID0020,2025/01/02,production_consumption,-36,production_run,PRUN_SID0013_MID0020_001
SMFEID0037,SID0015,MID0007,2025/01/02,production_consumption,-120,production_run,PRUN_SID0015_MID0007_001
SMFEID0038,SID0015,MID0020,2025/01/02,production_consumption,-237,production_run,PRUN_SID0015_MID0020_001
SMFEID0039,SID0018,MID0004,2025/01/02,production_consumption,-97,production_run,PRUN_SID0018_MID0004_001
SMFEID0040,SID0018,MID0007,2025/01/02,production_consumption,-48,production_run,PRUN_SID0018_MID0007_001
SMFEID0041,SID0018,MID0008,2025/01/02,production_consumption,-33,production_run,PRUN_SID0018_MID0008_001
SMFEID0042,SID0018,MID0020,2025/01/02,production_consumption,-73,production_run,PRUN_SID0018_MID0020_001
SMFEID0043,SID0018,MID0021,2025/01/02,production_consumption,-17,production_run,PRUN_SID0018_MID0021_001
SMFEID0044,SID0019,MID0010,2025/01/02,production_consumption,-35,production_run,PRUN_SID0019_MID0010_001
SMFEID0045,SID0019,MID0016,2025/01/02,production_consumption,-33,production_run,PRUN_SID0019_MID0016_001
SMFEID0046,SID0021,MID0001,2025/01/02,production_consumption,-21,production_run,PRUN_SID0021_MID0001_001
SMFEID0047,SID0021,MID0004,2025/01/02,production_consumption,-6,production_run,PRUN_SID0021_MID0004_001
SMFEID0048,SID0002,MID0001,2025/01/03,production_consumption,-6,production_run,PRUN_SID0002_MID0001_001
SMFEID0049,SID0002,MID0020,2025/01/03,production_consumption,-104,production_run,PRUN_SID0002_MID0020_001
SMFEID0050,SID0002,MID0025,2025/01/03,production_consumption,-21,production_run,PRUN_SID0002_MID0025_001
SMFEID0051,SID0004,MID0007,2025/01/03,production_consumption,-84,production_run,PRUN_SID0004_MID0007_001
SMFEID0052,SID0007,MID0017,2025/01/03,production_consumption,-26,production_run,PRUN_SID0007_MID0017_001
SMFEID0053,SID0007,MID0020,2025/01/03,production_consumption,-163,production_run,PRUN_SID0007_MID0020_001
SMFEID0054,SID0011,MID0001,2025/01/03,production_consumption,-22,production_run,PRUN_SID0011_MID0001_001
SMFEID0055,SID0011,MID0007,2025/01/03,production_consumption,-23,production_run,PRUN_SID0011_MID0007_001
SMFEID0056,SID0011,MID0008,2025/01/03,production_consumption,-76,production_run,PRUN_SID0011_MID0008_001
SMFEID0057,SID0013,MID0020,2025/01/03,production_consumption,-131,production_run,PRUN_SID0013_MID0020_001
SMFEID0058,SID0015,MID0007,2025/01/03,production_consumption,-99,production_run,PRUN_SID0015_MID0007_001
SMFEID0059,SID0015,MID0020,2025/01/03,production_consumption,-23,production_run,PRUN_SID0015_MID0020_001
SMFEID0060,SID0017,MID0018,2025/01/03,production_consumption,-6,production_run,PRUN_SID0017_MID0018_001
SMFEID0061,SID0018,MID0004,2025/01/03,production_consumption,-32,production_run,PRUN_SID0018_MID0004_001
SMFEID0062,SID0018,MID0007,2025/01/03,production_consumption,-12,production_run,PRUN_SID0018_MID0007_001
SMFEID0063,SID0018,MID0008,2025/01/03,production_consumption,-26,production_run,PRUN_SID0018_MID0008_001
SMFEID0064,SID0018,MID0020,2025/01/03,production_consumption,-32,production_run,PRUN_SID0018_MID0020_001
SMFEID0065,SID0018,MID0021,2025/01/03,production_consumption,-25,production_run,PRUN_SID0018_MID0021_001
SMFEID0066,SID0021,MID0001,2025/01/03,production_consumption,-30,production_run,PRUN_SID0021_MID0001_001
SMFEID0067,SID0021,MID0004,2025/01/03,production_consumption,-49,production_run,PRUN_SID0021_MID0004_001
SMFEID0068,SID0006,MID0010,2025/01/04,external_receipt,172,order,OID0001
SMFEID0069,SID0006,MID0010,2025/01/05,external_receipt,172,order,OID0002
SMFEID0070,SID0019,MID0015,2025/01/05,external_receipt,142,order,OID0003
SMFEID0071,SID0021,MID0004,2025/01/05,external_receipt,354,order,OID0004
SMFEID0072,SID0002,MID0001,2025/01/06,production_consumption,-28,production_run,PRUN_SID0002_MID0001_002
SMFEID0073,SID0002,MID0025,2025/01/06,production_consumption,-24,production_run,PRUN_SID0002_MID0025_002
SMFEID0074,SID0004,MID0020,2025/01/06,production_consumption,-27,production_run,PRUN_SID0004_MID0020_002
SMFEID0075,SID0006,MID0010,2025/01/06,production_consumption,-7,production_run,PRUN_SID0006_MID0010_002
SMFEID0076,SID0007,MID0020,2025/01/06,production_consumption,-45,production_run,PRUN_SID0007_MID0020_002
SMFEID0077,SID0008,MID0012,2025/01/06,production_consumption,-5,production_run,PRUN_SID0008_MID0012_001
SMFEID0078,SID0011,MID0007,2025/01/06,production_consumption,-21,production_run,PRUN_SID0011_MID0007_002
SMFEID0079,SID0011,MID0008,2025/01/06,production_consumption,-68,production_run,PRUN_SID0011_MID0008_002
SMFEID0080,SID0011,MID0020,2025/01/06,production_consumption,-236,production_run,PRUN_SID0011_MID0020_002
SMFEID0081,SID0011,MID0025,2025/01/06,production_consumption,-24,production_run,PRUN_SID0011_MID0025_002
SMFEID0082,SID0013,MID0020,2025/01/06,external_receipt,728,order,OID0005
SMFEID0083,SID0013,MID0020,2025/01/06,production_consumption,-45,production_run,PRUN_SID0013_MID0020_002
SMFEID0084,SID0015,MID0025,2025/01/06,production_consumption,-20,production_run,PRUN_SID0015_MID0025_001
SMFEID0085,SID0017,MID0018,2025/01/06,production_consumption,-7,production_run,PRUN_SID0017_MID0018_001
SMFEID0086,SID0018,MID0004,2025/01/06,production_consumption,-22,production_run,PRUN_SID0018_MID0004_002
SMFEID0087,SID0018,MID0007,2025/01/06,production_consumption,-22,production_run,PRUN_SID0018_MID0007_002
SMFEID0088,SID0018,MID0008,2025/01/06,production_consumption,-33,production_run,PRUN_SID0018_MID0008_001
SMFEID0089,SID0018,MID0021,2025/01/06,production_consumption,-17,production_run,PRUN_SID0018_MID0021_001
SMFEID0090,SID0019,MID0016,2025/01/06,production_consumption,-31,production_run,PRUN_SID0019_MID0016_002
SMFEID0091,SID0021,MID0001,2025/01/06,production_consumption,-10,production_run,PRUN_SID0021_MID0001_002
SMFEID0092,SID0021,MID0004,2025/01/06,production_consumption,-65,production_run,PRUN_SID0021_MID0004_002
SMFEID0093,SID0002,MID0001,2025/01/07,production_consumption,-36,production_run,PRUN_SID0002_MID0001_002
SMFEID0094,SID0002,MID0025,2025/01/07,production_consumption,-28,production_run,PRUN_SID0002_MID0025_002
SMFEID0095,SID0004,MID0020,2025/01/07,production_consumption,-51,production_run,PRUN_SID0004_MID0020_002
SMFEID0096,SID0006,MID0010,2025/01/07,production_consumption,-17,production_run,PRUN_SID0006_MID0010_002
SMFEID0097,SID0007,MID0020,2025/01/07,production_consumption,-129,production_run,PRUN_SID0007_MID0020_002
SMFEID0098,SID0008,MID0012,2025/01/07,production_consumption,-7,production_run,PRUN_SID0008_MID0012_001
SMFEID0099,SID0008,MID0022,2025/01/07,production_consumption,-19,production_run,PRUN_SID0008_MID0022_001
SMFEID0100,SID0011,MID0001,2025/01/07,production_consumption,-48,production_run,PRUN_SID0011_MID0001_002
SMFEID0101,SID0011,MID0007,2025/01/07,production_consumption,-38,production_run,PRUN_SID0011_MID0007_002
SMFEID0102,SID0011,MID0008,2025/01/07,production_consumption,-58,production_run,PRUN_SID0011_MID0008_002
SMFEID0103,SID0011,MID0020,2025/01/07,external_receipt,1625,order,OID0006
SMFEID0104,SID0011,MID0020,2025/01/07,production_consumption,-52,production_run,PRUN_SID0011_MID0020_002
SMFEID0105,SID0011,MID0025,2025/01/07,production_consumption,-7,production_run,PRUN_SID0011_MID0025_002
SMFEID0106,SID0013,MID0016,2025/01/07,production_consumption,-47,production_run,PRUN_SID0013_MID0016_002
SMFEID0107,SID0013,MID0020,2025/01/07,production_consumption,-77,production_run,PRUN_SID0013_MID0020_002
SMFEID0108,SID0015,MID0025,2025/01/07,production_consumption,-32,production_run,PRUN_SID0015_MID0025_001
SMFEID0109,SID0017,MID0018,2025/01/07,production_consumption,-2,production_run,PRUN_SID0017_MID0018_001
SMFEID0110,SID0018,MID0004,2025/01/07,production_consumption,-52,production_run,PRUN_SID0018_MID0004_002
SMFEID0111,SID0018,MID0007,2025/01/07,production_consumption,-21,production_run,PRUN_SID0018_MID0007_002
SMFEID0112,SID0018,MID0008,2025/01/07,production_consumption,-29,production_run,PRUN_SID0018_MID0008_001
SMFEID0113,SID0018,MID0021,2025/01/07,production_consumption,-24,production_run,PRUN_SID0018_MID0021_001
SMFEID0114,SID0019,MID0010,2025/01/07,production_consumption,-46,production_run,PRUN_SID0019_MID0010_002
SMFEID0115,SID0019,MID0016,2025/01/07,production_consumption,-8,production_run,PRUN_SID0019_MID0016_002
SMFEID0116,SID0020,MID0017,2025/01/07,production_consumption,-45,production_run,PRUN_SID0020_MID0017_001
SMFEID0117,SID0021,MID0001,2025/01/07,production_consumption,-49,production_run,PRUN_SID0021_MID0001_002
SMFEID0118,SID0021,MID0004,2025/01/07,production_consumption,-68,production_run,PRUN_SID0021_MID0004_002
SMFEID0119,SID0021,MID0005,2025/01/07,production_consumption,-44,production_run,PRUN_SID0021_MID0005_001
SMFEID0120,SID0002,MID0025,2025/01/08,production_consumption,-27,production_run,PRUN_SID0002_MID0025_002
SMFEID0121,SID0004,MID0020,2025/01/08,production_consumption,-29,production_run,PRUN_SID0004_MID0020_002
SMFEID0122,SID0006,MID0010,2025/01/08,production_consumption,-18,production_run,PRUN_SID0006_MID0010_002
SMFEID0123,SID0007,MID0020,2025/01/08,production_consumption,-49,production_run,PRUN_SID0007_MID0020_002
SMFEID0124,SID0008,MID0012,2025/01/08,production_consumption,-4,production_run,PRUN_SID0008_MID0012_001
SMFEID0125,SID0008,MID0022,2025/01/08,production_consumption,-39,production_run,PRUN_SID0008_MID0022_001
SMFEID0126,SID0008,MID0023,2025/01/08,production_consumption,-10,production_run,PRUN_SID0008_MID0023_001
SMFEID0127,SID0011,MID0001,2025/01/08,production_consumption,-31,production_run,PRUN_SID0011_MID0001_002
SMFEID0128,SID0011,MID0007,2025/01/08,production_consumption,-57,production_run,PRUN_SID0011_MID0007_002
SMFEID0129,SID0011,MID0008,2025/01/08,production_consumption,-43,production_run,PRUN_SID0011_MID0008_002
SMFEID0130,SID0011,MID0020,2025/01/08,production_consumption,-132,production_run,PRUN_SID0011_MID0020_002
SMFEID0131,SID0011,MID0025,2025/01/08,external_receipt,273,order,OID0007
SMFEID0132,SID0011,MID0025,2025/01/08,production_consumption,-19,production_run,PRUN_SID0011_MID0025_002
SMFEID0133,SID0013,MID0016,2025/01/08,production_consumption,-57,production_run,PRUN_SID0013_MID0016_002
SMFEID0134,SID0013,MID0020,2025/01/08,production_consumption,-49,production_run,PRUN_SID0013_MID0020_002
SMFEID0135,SID0015,MID0007,2025/01/08,production_consumption,-233,production_run,PRUN_SID0015_MID0007_002
SMFEID0136,SID0015,MID0025,2025/01/08,production_consumption,-31,production_run,PRUN_SID0015_MID0025_001
SMFEID0137,SID0017,MID0018,2025/01/08,production_consumption,-5,production_run,PRUN_SID0017_MID0018_001
SMFEID0138,SID0018,MID0002,2025/01/08,production_consumption,-1,production_run,PRUN_SID0018_MID0002_001
SMFEID0139,SID0018,MID0004,2025/01/08,production_consumption,-96,production_run,PRUN_SID0018_MID0004_002
SMFEID0140,SID0018,MID0007,2025/01/08,production_consumption,-15,production_run,PRUN_SID0018_MID0007_002
SMFEID0141,SID0018,MID0020,2025/01/08,production_consumption,-151,production_run,PRUN_SID0018_MID0020_002
SMFEID0142,SID0019,MID0010,2025/01/08,production_consumption,-51,production_run,PRUN_SID0019_MID0010_002
SMFEID0143,SID0019,MID0013,2025/01/08,external_receipt,142,order,OID0008
SMFEID0144,SID0019,MID0013,2025/01/08,production_consumption,-43,production_run,PRUN_SID0019_MID0013_001
SMFEID0145,SID0019,MID0016,2025/01/08,production_consumption,-41,production_run,PRUN_SID0019_MID0016_002
SMFEID0146,SID0020,MID0011,2025/01/08,production_consumption,-8,production_run,PRUN_SID0020_MID0011_001
SMFEID0147,SID0020,MID0017,2025/01/08,production_consumption,-20,production_run,PRUN_SID0020_MID0017_001
SMFEID0148,SID0021,MID0001,2025/01/08,production_consumption,-16,production_run,PRUN_SID0021_MID0001_002
SMFEID0149,SID0021,MID0004,2025/01/08,production_consumption,-13,production_run,PRUN_SID0021_MID0004_002
SMFEID0150,SID0021,MID0005,2025/01/08,production_consumption,-27,production_run,PRUN_SID0021_MID0005_001
SMFEID0151,SID0004,MID0007,2025/01/09,production_consumption,-109,production_run,PRUN_SID0004_MID0007_002
SMFEID0152,SID0006,MID0010,2025/01/09,production_consumption,-68,production_run,PRUN_SID0006_MID0010_002
SMFEID0153,SID0006,MID0020,2025/01/09,production_consumption,-207,production_run,PRUN_SID0006_MID0020_002
SMFEID0154,SID0007,MID0017,2025/01/09,production_consumption,-8,production_run,PRUN_SID0007_MID0017_002
SMFEID0155,SID0007,MID0020,2025/01/09,production_consumption,-119,production_run,PRUN_SID0007_MID0020_002
SMFEID0156,SID0008,MID0012,2025/01/09,production_consumption,-4,production_run,PRUN_SID0008_MID0012_001
SMFEID0157,SID0008,MID0023,2025/01/09,production_consumption,-9,production_run,PRUN_SID0008_MID0023_001
SMFEID0158,SID0011,MID0001,2025/01/09,external_receipt,219,order,OID0009
SMFEID0159,SID0011,MID0007,2025/01/09,production_consumption,-26,production_run,PRUN_SID0011_MID0007_002
SMFEID0160,SID0011,MID0008,2025/01/09,production_consumption,-45,production_run,PRUN_SID0011_MID0008_002
SMFEID0161,SID0011,MID0025,2025/01/09,production_consumption,-6,production_run,PRUN_SID0011_MID0025_002
SMFEID0162,SID0013,MID0016,2025/01/09,production_consumption,-39,production_run,PRUN_SID0013_MID0016_002
SMFEID0163,SID0013,MID0020,2025/01/09,production_consumption,-18,production_run,PRUN_SID0013_MID0020_002
SMFEID0164,SID0015,MID0007,2025/01/09,production_consumption,-118,production_run,PRUN_SID0015_MID0007_002
SMFEID0165,SID0015,MID0020,2025/01/09,production_consumption,-195,production_run,PRUN_SID0015_MID0020_002
SMFEID0166,SID0017,MID0001,2025/01/09,production_consumption,-13,production_run,PRUN_SID0017_MID0001_001
SMFEID0167,SID0017,MID0018,2025/01/09,production_consumption,-11,production_run,PRUN_SID0017_MID0018_001
SMFEID0168,SID0018,MID0002,2025/01/09,production_consumption,-11,production_run,PRUN_SID0018_MID0002_001
SMFEID0169,SID0018,MID0004,2025/01/09,production_consumption,-47,production_run,PRUN_SID0018_MID0004_002
SMFEID0170,SID0018,MID0007,2025/01/09,production_consumption,-33,production_run,PRUN_SID0018_MID0007_002
SMFEID0171,SID0018,MID0020,2025/01/09,production_consumption,-139,production_run,PRUN_SID0018_MID0020_002
SMFEID0172,SID0019,MID0013,2025/01/09,production_consumption,-2,production_run,PRUN_SID0019_MID0013_001
SMFEID0173,SID0019,MID0015,2025/01/09,production_consumption,-2,production_run,PRUN_SID0019_MID0015_001
SMFEID0174,SID0019,MID0016,2025/01/09,production_consumption,-29,production_run,PRUN_SID0019_MID0016_002
SMFEID0175,SID0020,MID0011,2025/01/09,production_consumption,-18,production_run,PRUN_SID0020_MID0011_001
SMFEID0176,SID0020,MID0017,2025/01/09,production_consumption,-43,production_run,PRUN_SID0020_MID0017_001
SMFEID0177,SID0021,MID0001,2025/01/09,production_consumption,-14,production_run,PRUN_SID0021_MID0001_002
SMFEID0178,SID0021,MID0004,2025/01/09,production_consumption,-16,production_run,PRUN_SID0021_MID0004_002
SMFEID0179,SID0021,MID0005,2025/01/09,production_consumption,-32,production_run,PRUN_SID0021_MID0005_001
SMFEID0180,SID0021,MID0018,2025/01/09,production_consumption,-29,production_run,PRUN_SID0021_MID0018_001
SMFEID0181,SID0004,MID0007,2025/01/10,production_consumption,-68,production_run,PRUN_SID0004_MID0007_002
SMFEID0182,SID0006,MID0020,2025/01/10,production_consumption,-22,production_run,PRUN_SID0006_MID0020_002
SMFEID0183,SID0007,MID0017,2025/01/10,production_consumption,-462,production_run,PRUN_SID0007_MID0017_002
SMFEID0184,SID0008,MID0012,2025/01/10,production_consumption,-3,production_run,PRUN_SID0008_MID0012_001
SMFEID0185,SID0008,MID0023,2025/01/10,production_consumption,-14,production_run,PRUN_SID0008_MID0023_001
SMFEID0186,SID0008,MID0024,2025/01/10,production_consumption,-40,production_run,PRUN_SID0008_MID0024_001
SMFEID0187,SID0011,MID0008,2025/01/10,production_consumption,-15,production_run,PRUN_SID0011_MID0008_002
SMFEID0188,SID0013,MID0016,2025/01/10,production_consumption,-60,production_run,PRUN_SID0013_MID0016_002
SMFEID0189,SID0013,MID0020,2025/01/10,production_consumption,-79,production_run,PRUN_SID0013_MID0020_002
SMFEID0190,SID0015,MID0007,2025/01/10,production_consumption,-169,production_run,PRUN_SID0015_MID0007_002
SMFEID0191,SID0015,MID0020,2025/01/10,production_consumption,-196,production_run,PRUN_SID0015_MID0020_002
SMFEID0192,SID0017,MID0001,2025/01/10,production_consumption,-15,production_run,PRUN_SID0017_MID0001_001
SMFEID0193,SID0017,MID0004,2025/01/10,production_consumption,-32,production_run,PRUN_SID0017_MID0004_001
SMFEID0194,SID0017,MID0018,2025/01/10,production_consumption,-10,production_run,PRUN_SID0017_MID0018_001
SMFEID0195,SID0018,MID0002,2025/01/10,production_consumption,-12,production_run,PRUN_SID0018_MID0002_001
SMFEID0196,SID0018,MID0004,2025/01/10,production_consumption,-41,production_run,PRUN_SID0018_MID0004_002
SMFEID0197,SID0018,MID0020,2025/01/10,production_consumption,-33,production_run,PRUN_SID0018_MID0020_002
SMFEID0198,SID0019,MID0013,2025/01/10,production_consumption,-33,production_run,PRUN_SID0019_MID0013_001
SMFEID0199,SID0019,MID0015,2025/01/10,production_consumption,-16,production_run,PRUN_SID0019_MID0015_001
SMFEID0200,SID0019,MID0016,2025/01/10,production_consumption,-29,production_run,PRUN_SID0019_MID0016_002
SMFEID0201,SID0020,MID0011,2025/01/10,production_consumption,-15,production_run,PRUN_SID0020_MID0011_001
SMFEID0202,SID0020,MID0017,2025/01/10,production_consumption,-18,production_run,PRUN_SID0020_MID0017_001
SMFEID0203,SID0021,MID0004,2025/01/10,production_consumption,-12,production_run,PRUN_SID0021_MID0004_002
SMFEID0204,SID0021,MID0005,2025/01/10,production_consumption,-16,production_run,PRUN_SID0021_MID0005_001
SMFEID0205,SID0021,MID0018,2025/01/10,production_consumption,-29,production_run,PRUN_SID0021_MID0018_001
SMFEID0206,SID0002,MID0025,2025/01/11,external_receipt,364,order,OID0010
SMFEID0207,SID0004,MID0020,2025/01/11,external_receipt,324,order,OID0011
SMFEID0208,SID0007,MID0017,2025/01/11,external_receipt,1794,order,OID0012
SMFEID0209,SID0013,MID0016,2025/01/11,external_receipt,546,order,OID0013
SMFEID0210,SID0018,MID0007,2025/01/11,external_receipt,228,order,OID0014
SMFEID0211,SID0021,MID0004,2025/01/11,external_receipt,177,order,OID0051
SMFEID0212,SID0002,MID0001,2025/01/12,external_receipt,334,order,OID0015
SMFEID0213,SID0008,MID0022,2025/01/12,external_receipt,41,order,OID0016
SMFEID0214,SID0011,MID0007,2025/01/12,external_receipt,534,order,OID0017
SMFEID0215,SID0013,MID0016,2025/01/12,external_receipt,364,order,OID0018
SMFEID0216,SID0018,MID0008,2025/01/12,external_receipt,219,order,OID0019
SMFEID0217,SID0002,MID0001,2025/01/13,production_consumption,-22,production_run,PRUN_SID0002_MID0001_003
SMFEID0218,SID0004,MID0020,2025/01/13,production_consumption,-59,production_run,PRUN_SID0004_MID0020_003
SMFEID0219,SID0006,MID0010,2025/01/13,production_consumption,-20,production_run,PRUN_SID0006_MID0010_003
SMFEID0220,SID0006,MID0020,2025/01/13,external_receipt,940,order,OID0020
SMFEID0221,SID0007,MID0020,2025/01/13,external_receipt,1261,order,OID0021
SMFEID0222,SID0007,MID0020,2025/01/13,production_consumption,-87,production_run,PRUN_SID0007_MID0020_003
SMFEID0223,SID0008,MID0012,2025/01/13,production_consumption,-7,production_run,PRUN_SID0008_MID0012_001
SMFEID0224,SID0008,MID0023,2025/01/13,production_consumption,-3,production_run,PRUN_SID0008_MID0023_001
SMFEID0225,SID0008,MID0024,2025/01/13,production_consumption,-14,production_run,PRUN_SID0008_MID0024_001
SMFEID0226,SID0011,MID0001,2025/01/13,production_consumption,-18,production_run,PRUN_SID0011_MID0001_003
SMFEID0227,SID0011,MID0007,2025/01/13,production_consumption,-5,production_run,PRUN_SID0011_MID0007_003
SMFEID0228,SID0011,MID0020,2025/01/13,production_consumption,-172,production_run,PRUN_SID0011_MID0020_003
SMFEID0229,SID0011,MID0025,2025/01/13,production_consumption,-21,production_run,PRUN_SID0011_MID0025_003
SMFEID0230,SID0013,MID0020,2025/01/13,production_consumption,-34,production_run,PRUN_SID0013_MID0020_003
SMFEID0231,SID0015,MID0007,2025/01/13,production_consumption,-94,production_run,PRUN_SID0015_MID0007_003
SMFEID0232,SID0017,MID0001,2025/01/13,production_consumption,-23,production_run,PRUN_SID0017_MID0001_001
SMFEID0233,SID0017,MID0004,2025/01/13,production_consumption,-35,production_run,PRUN_SID0017_MID0004_001
SMFEID0234,SID0018,MID0002,2025/01/13,production_consumption,-8,production_run,PRUN_SID0018_MID0002_001
SMFEID0235,SID0018,MID0004,2025/01/13,production_consumption,-67,production_run,PRUN_SID0018_MID0004_003
SMFEID0236,SID0018,MID0007,2025/01/13,production_consumption,-9,production_run,PRUN_SID0018_MID0007_003
SMFEID0237,SID0019,MID0013,2025/01/13,production_consumption,-25,production_run,PRUN_SID0019_MID0013_001
SMFEID0238,SID0019,MID0015,2025/01/13,production_consumption,-36,production_run,PRUN_SID0019_MID0015_001
SMFEID0239,SID0020,MID0011,2025/01/13,production_consumption,-11,production_run,PRUN_SID0020_MID0011_001
SMFEID0240,SID0021,MID0005,2025/01/13,external_receipt,55,order,OID0022
SMFEID0241,SID0021,MID0005,2025/01/13,production_consumption,-21,production_run,PRUN_SID0021_MID0005_001
SMFEID0242,SID0021,MID0018,2025/01/13,production_consumption,-17,production_run,PRUN_SID0021_MID0018_001
SMFEID0243,SID0002,MID0001,2025/01/14,production_consumption,-7,production_run,PRUN_SID0002_MID0001_003
SMFEID0244,SID0004,MID0007,2025/01/14,production_consumption,-25,production_run,PRUN_SID0004_MID0007_003
SMFEID0245,SID0004,MID0020,2025/01/14,production_consumption,-3,production_run,PRUN_SID0004_MID0020_003
SMFEID0246,SID0006,MID0010,2025/01/14,production_consumption,-31,production_run,PRUN_SID0006_MID0010_003
SMFEID0247,SID0007,MID0017,2025/01/14,production_consumption,-133,production_run,PRUN_SID0007_MID0017_003
SMFEID0248,SID0007,MID0020,2025/01/14,production_consumption,-53,production_run,PRUN_SID0007_MID0020_003
SMFEID0249,SID0008,MID0024,2025/01/14,external_receipt,55,order,OID0023
SMFEID0250,SID0011,MID0001,2025/01/14,production_consumption,-16,production_run,PRUN_SID0011_MID0001_003
SMFEID0251,SID0011,MID0007,2025/01/14,production_consumption,-33,production_run,PRUN_SID0011_MID0007_003
SMFEID0252,SID0011,MID0020,2025/01/14,production_consumption,-52,production_run,PRUN_SID0011_MID0020_003
SMFEID0253,SID0011,MID0025,2025/01/14,production_consumption,-24,production_run,PRUN_SID0011_MID0025_003
SMFEID0254,SID0013,MID0020,2025/01/14,production_consumption,-58,production_run,PRUN_SID0013_MID0020_003
SMFEID0255,SID0015,MID0007,2025/01/14,production_consumption,-137,production_run,PRUN_SID0015_MID0007_003
SMFEID0256,SID0017,MID0001,2025/01/14,production_consumption,-11,production_run,PRUN_SID0017_MID0001_001
SMFEID0257,SID0017,MID0004,2025/01/14,production_consumption,-8,production_run,PRUN_SID0017_MID0004_001
SMFEID0258,SID0018,MID0002,2025/01/14,production_consumption,-8,production_run,PRUN_SID0018_MID0002_001
