Supplier_Potential_Supply_ID,Purchasing_Supplier_ID,Purchased_Material_ID,Supplying_Supplier_ID
SPSID0055,SID0013,MID0017,SID0009
SPSID0056,SID0013,MID0017,SID0012
SPSID0057,SID0013,MID0020,SID0010
SPSID0058,SID0013,MID0020,SID0014
SPSID0059,SID0015,MID0001,SID0001
SPSID0060,SID0015,MID0007,SID0003
SPSID0061,SID0015,MID0007,SID0010
SPSID0062,SID0015,MID0007,SID0014
SPSID0063,SID0015,MID0008,SID0005
SPSID0064,SID0015,MID0008,SID0012
SPSID0065,SID0015,MID0008,SID0016
SPSID0066,SID0015,MID0020,SID0010
SPSID0067,SID0015,MID0020,SID0014
SPSID0068,SID0015,MID0025,SID0010
SPSID0069,SID0015,MID0025,SID0014
SPSID0070,SID0016,MID0002,SID0002
SPSID0071,SID0016,MID0003,SID0002
SPSID0072,SID0016,MID0003,SID0011
SPSID0073,SID0016,MID0003,SID0015
SPSID0074,SID0016,MID0007,SID0003
SPSID0075,SID0016,MID0007,SID0010
SPSID0076,SID0016,MID0007,SID0014
SPSID0077,SID0016,MID0008,SID0005
SPSID0078,SID0016,MID0008,SID0012
SPSID0079,SID0016,MID0008,SID0016
SPSID0080,SID0016,MID0011,SID0004
SPSID0081,SID0016,MID0011,SID0011
SPSID0082,SID0016,MID0011,SID0015
SPSID0083,SID0016,MID0014,SID0006
SPSID0084,SID0016,MID0014,SID0013
SPSID0085,SID0016,MID0014,SID0019
SPSID0086,SID0016,MID0017,SID0009
SPSID0087,SID0016,MID0017,SID0012
SPSID0088,SID0016,MID0021,SID0011
SPSID0089,SID0016,MID0021,SID0015
SPSID0090,SID0017,MID0001,SID0001
SPSID0091,SID0017,MID0004,SID0003
SPSID0092,SID0017,MID0004,SID0010
SPSID0093,SID0017,MID0004,SID0014
SPSID0094,SID0017,MID0005,SID0004
SPSID0095,SID0017,MID0005,SID0011
SPSID0096,SID0017,MID0005,SID0015
SPSID0097,SID0017,MID0010,SID0005
SPSID0098,SID0017,MID0010,SID0012
SPSID0099,SID0017,MID0010,SID0017
SPSID0100,SID0017,MID0013,SID0006
SPSID0101,SID0017,MID0013,SID0013
SPSID0102,SID0017,MID0013,SID0018
SPSID0103,SID0017,MID0015,SID0007
SPSID0104,SID0017,MID0015,SID0013
SPSID0105,SID0017,MID0015,SID0020
SPSID0106,SID0017,MID0016,SID0009
SPSID0107,SID0017,MID0016,SID0012
SPSID0108,SID0017,MID0016,SID0021
SPSID0109,SID0017,MID0018,SID0007
SPSID0110,SID0017,MID0018,SID0013
SPSID0111,SID0018,MID0002,SID0002
SPSID0112,SID0018,MID0004,SID0003
SPSID0113,SID0018,MID0004,SID0010
SPSID0114,SID0018,MID0004,SID0014
SPSID0115,SID0018,MID0007,SID0003
SPSID0116,SID0018,MID0007,SID0010
SPSID0117,SID0018,MID0007,SID0014
SPSID0118,SID0018,MID0008,SID0005
SPSID0119,SID0018,MID0008,SID0012
SPSID0120,SID0018,MID0008,SID0016
SPSID0121,SID0018,MID0020,SID0010
SPSID0122,SID0018,MID0020,SID0014
SPSID0123,SID0018,MID0021,SID0011
SPSID0124,SID0018,MID0021,SID0015
SPSID0125,SID0019,MID0010,SID0005
SPSID0126,SID0019,MID0010,SID0012
SPSID0127,SID0019,MID0010,SID0017
SPSID0128,SID0019,MID0013,SID0006
SPSID0129,SID0019,MID0013,SID0013
SPSID0130,SID0019,MID0013,SID0018
SPSID0131,SID0019,MID0015,SID0007
SPSID0132,SID0019,MID0015,SID0013
SPSID0133,SID0019,MID0015,SID0020
SPSID0134,SID0019,MID0016,SID0009
SPSID0135,SID0019,MID0016,SID0012
SPSID0136,SID0019,MID0016,SID0021
SPSID0137,SID0019,MID0020,SID0010
SPSID0138,SID0019,MID0020,SID0014
SPSID0139,SID0020,MID0003,SID0002
SPSID0140,SID0020,MID0003,SID0011
SPSID0141,SID0020,MID0003,SID0015
SPSID0142,SID0020,MID0011,SID0004
SPSID0143,SID0020,MID0011,SID0011
SPSID0144,SID0020,MID0011,SID0015
SPSID0145,SID0020,MID0014,SID0006
SPSID0146,SID0020,MID0014,SID0013
SPSID0147,SID0020,MID0014,SID0019
SPSID0148,SID0020,MID0017,SID0009
SPSID0149,SID0020,MID0017,SID0012
SPSID0150,SID0020,MID0020,SID0010
SPSID0151,SID0020,MID0020,SID0014
SPSID0152,SID0021,MID0001,SID0001
SPSID0153,SID0021,MID0004,SID0003
SPSID0154,SID0021,MID0004,SID0010
SPSID0155,SID0021,MID0004,SID0014
SPSID0156,SID0021,MID0005,SID0004
SPSID0157,SID0021,MID0005,SID0011
SPSID0158,SID0021,MID0005,SID0015
SPSID0159,SID0021,MID0018,SID0007
SPSID0160,SID0021,MID0018,SID0013
