Order_ID,Material_ID,Supplier_ID,Theoretical_Capacity,Purchase_Quantity,Material_Unit_Price,Order_Create_Date,Order_Delivery_Date,Promised_Delivery_Date,Defective_Quantity,Incoming_Total_Qty,Is_Qualified_Supplier,Is_Returned,Is_Delayed,Delayed_Delivery_Cost
OID0035,MID0008,SID0007,896,357,106.53,2025/04/09,2025/04/19,2025/04/19,7,357,1,0,0,0
OID0036,MID0003,SID0003,1135,663,62.12,2025/04/10,2025/04/18,2025/04/21,3,663,0,0,0,0
OID0037,MID0007,SID0006,985,617,15.11,2025/04/10,2025/04/16,2025/04/22,22,617,1,0,0,0
OID0038,MID0012,SID0011,694,411,221.24,2025/04/10,2025/04/17,2025/04/18,1,411,1,0,0,0
OID0039,MID0011,SID0010,918,868,29.93,2025/04/10,2025/04/16,2025/04/21,1,868,1,0,0,0
OID0040,MID0010,SID0009,1090,519,28.19,2025/04/10,2025/04/20,2025/04/17,1,519,0,0,1,29.6
OID0041,MID0012,SID0011,705,404,221.24,2025/04/11,2025/04/18,2025/04/20,0,404,1,0,0,0
OID0042,MID0007,SID0006,855,736,15.11,2025/04/11,2025/04/13,2025/04/18,3,736,1,0,0,0
OID0043,MID0016,SID0015,583,340,128.17,2025/04/11,2025/04/23,2025/04/23,3,340,1,0,0,0
OID0044,MID0005,SID0005,839,384,35.8,2025/04/11,2025/04/22,2025/04/25,1,384,1,0,0,0
OID0045,MID0005,SID0005,870,417,35.8,2025/04/12,2025/04/26,2025/04/22,2,417,1,0,1,50.12
OID0046,MID0023,SID0021,314,199,312.55,2025/04/12,2025/04/24,2025/04/26,1,199,1,0,0,0
OID0047,MID0023,SID0021,333,235,312.55,2025/04/12,2025/04/28,2025/04/24,1,235,1,0,1,437.57
OID0048,MID0019,SID0021,350,206,6.13,2025/04/12,2025/04/16,2025/04/20,0,206,1,0,0,0
OID0049,MID0017,SID0016,888,355,7,2025/04/13,2025/04/23,2025/04/22,3,355,1,0,1,2.45
OID0050,MID0010,SID0009,1130,518,28.19,2025/04/13,2025/04/15,2025/04/21,0,518,1,0,0,0
OID0051,MID0001,SID0001,1066,591,239.42,2025/04/13,2025/04/18,2025/04/20,0,591,1,0,0,0
OID0052,MID0016,SID0015,656,341,128.17,2025/04/13,2025/04/27,2025/04/23,0,341,1,0,1,179.44
OID0053,MID0023,SID0021,329,126,312.55,2025/04/14,2025/04/19,2025/04/24,1,126,1,0,0,0
OID0054,MID0009,SID0001,1099,693,6.05,2025/04/14,2025/04/26,2025/04/28,2,693,1,0,0,0
OID0055,MID0003,SID0003,1206,914,62.12,2025/04/14,2025/04/21,2025/04/21,6,914,1,0,0,0
OID0056,MID0010,SID0009,1086,602,28.19,2025/04/14,2025/04/21,2025/04/26,4,602,1,0,0,0
OID0057,MID0021,SID0019,437,313,12,2025/04/15,2025/04/22,2025/04/23,1,313,0,0,0,0
OID0058,MID0012,SID0011,790,749,221.24,2025/04/15,2025/05/01,2025/04/27,25,749,1,0,1,309.74
OID0059,MID0016,SID0015,608,266,128.17,2025/04/15,2025/04/20,2025/04/24,2,266,1,0,0,0
OID0060,MID0007,SID0006,901,389,15.11,2025/04/15,2025/04/26,2025/04/24,3,389,0,0,1,10.58
OID0061,MID0012,SID0011,755,346,221.24,2025/04/16,2025/04/20,2025/04/23,3,346,1,0,0,0
OID0062,MID0025,SID0021,335,300,30.62,2025/04/16,2025/04/30,2025/04/30,1,300,1,0,0,0
OID0063,MID0010,SID0009,1044,453,28.19,2025/04/16,2025/04/29,2025/04/27,5,453,1,0,1,19.73
OID0064,MID0011,SID0010,984,459,29.93,2025/04/16,2025/04/27,2025/04/30,4,459,0,0,0,0
OID0065,MID0003,SID0003,1170,929,62.12,2025/04/17,2025/04/21,2025/04/27,5,929,1,0,0,0
OID0066,MID0003,SID0003,1230,846,62.12,2025/04/17,2025/04/28,2025/04/29,0,846,1,0,0,0
OID0067,MID0003,SID0003,1231,517,62.12,2025/04/17,2025/04/18,2025/04/24,2,517,1,0,0,0
OID0068,MID0018,SID0017,604,351,4,2025/04/17,2025/04/30,2025/04/27,15,351,0,0,1,4.2
OID0069,MID0001,SID0001,1024,610,239.42,2025/04/18,2025/05/01,2025/05/01,0,610,1,0,0,0
OID0070,MID0010,SID0009,1012,462,28.19,2025/04/18,2025/04/20,2025/04/25,2,462,1,0,0,0
OID0071,MID0015,SID0014,718,515,42.91,2025/04/18,2025/04/23,2025/04/29,4,515,1,0,0,0
OID0072,MID0013,SID0012,720,468,5,2025/04/18,2025/05/04,2025/04/30,3,468,1,0,1,7.0
OID0073,MID0010,SID0009,1105,782,28.19,2025/04/19,2025/04/27,2025/05/01,6,782,1,0,0,0
OID0074,MID0008,SID0007,902,712,106.53,2025/04/19,2025/04/25,2025/04/28,3,712,1,0,0,0
OID0075,MID0007,SID0006,886,367,15.11,2025/04/19,2025/04/28,2025/04/27,2,367,1,0,1,5.29
OID0076,MID0001,SID0001,1058,540,239.42,2025/04/19,2025/04/22,2025/04/27,3,540,1,0,0,0
OID0077,MID0023,SID0021,307,177,312.55,2025/04/20,2025/04/28,2025/04/27,0,177,1,0,1,109.39
OID0078,MID0023,SID0021,312,184,312.55,2025/04/20,2025/04/25,2025/04/28,1,184,1,0,0,0
OID0079,MID0012,SID0011,777,309,221.24,2025/04/20,2025/05/03,2025/05/02,0,309,1,0,1,77.43
OID0080,MID0025,SID0021,343,172,30.62,2025/04/20,2025/04/22,2025/04/28,1,172,1,0,0,0
OID0081,MID0023,SID0021,305,129,312.55,2025/04/20,2025/04/24,2025/04/27,0,129,1,0,0,0
OID0082,MID0017,SID0016,784,375,7,2025/04/21,2025/04/29,2025/04/28,0,375,1,0,1,2.45
OID0083,MID0016,SID0015,670,369,128.17,2025/04/21,2025/05/03,2025/05/02,1,369,0,0,1,44.86
OID0084,MID0010,SID0009,1071,629,28.19,2025/04/21,2025/04/29,2025/04/30,3,629,0,0,0,0
OID0085,MID0003,SID0003,1260,454,62.12,2025/04/21,2025/04/27,2025/04/29,4,454,1,0,0,0
OID0086,MID0003,SID0003,1111,962,62.12,2025/04/22,2025/05/02,2025/05/03,6,962,1,0,0,0
OID0087,MID0023,SID0021,333,157,312.55,2025/04/22,2025/04/29,2025/05/03,0,157,1,0,0,0
OID0088,MID0025,SID0021,307,113,30.62,2025/04/22,2025/05/08,2025/05/06,0,113,1,0,1,21.43
OID0089,MID0008,SID0007,894,418,106.53,2025/04/22,2025/05/07,2025/05/05,0,418,1,0,1,74.57
OID0090,MID0011,SID0010,909,846,29.93,2025/04/23,2025/04/27,2025/05/01,6,846,1,0,0,0
OID0091,MID0003,SID0003,1253,500,62.12,2025/04/23,2025/05/05,2025/05/06,2,500,1,0,0,0
OID0092,MID0023,SID0021,329,193,312.55,2025/04/23,2025/04/28,2025/05/01,2,193,1,0,0,0
OID0093,MID0011,SID0010,993,651,29.93,2025/04/23,2025/05/01,2025/05/05,3,651,0,0,0,0
OID0094,MID0025,SID0021,347,122,30.62,2025/04/24,2025/05/07,2025/05/08,0,122,1,0,0,0
OID0095,MID0023,SID0021,323,188,312.55,2025/04/24,2025/05/03,2025/05/02,0,188,1,0,1,109.39
OID0096,MID0012,SID0011,695,302,221.24,2025/04/24,2025/05/04,2025/05/03,1,302,0,0,1,77.43
OID0097,MID0017,SID0016,856,365,7,2025/04/24,2025/04/30,2025/05/06,2,365,1,0,0,0
OID0098,MID0008,SID0007,907,321,106.53,2025/04/25,2025/05/12,2025/05/09,2,321,1,0,1,111.86
OID0099,MID0011,SID0010,942,492,29.93,2025/04/25,2025/05/04,2025/05/06,2,492,1,0,0,0
OID0100,MID0016,SID0015,588,367,128.17,2025/04/25,2025/05/03,2025/05/05,39,0,0,1,0,0
OID0101,MID0015,SID0014,739,363,42.91,2025/04/25,2025/05/04,2025/05/08,15,363,1,0,0,0
OID0102,MID0012,SID0011,705,499,221.24,2025/04/26,2025/05/09,2025/05/05,4,499,1,0,1,309.74
OID0103,MID0012,SID0011,770,555,221.24,2025/04/26,2025/05/04,2025/05/09,3,555,1,0,0,0
OID0104,MID0005,SID0005,831,700,35.8,2025/04/26,2025/05/12,2025/05/08,3,700,0,0,1,50.12
OID0105,MID0009,SID0001,1120,557,6.05,2025/04/26,2025/05/04,2025/05/04,2,557,1,0,0,0
OID0106,MID0011,SID0010,901,423,29.93,2025/04/27,2025/05/09,2025/05/10,1,423,1,0,0,0
OID0107,MID0023,SID0021,350,191,312.55,2025/04/27,2025/05/13,2025/05/11,1,191,1,0,1,218.78
OID0108,MID0003,SID0003,1275,1000,62.12,2025/04/27,2025/05/08,2025/05/04,2,1000,0,0,1,86.97
OID0109,MID0012,SID0011,784,363,221.24,2025/04/27,2025/05/14,2025/05/10,0,363,0,0,1,309.74
OID0110,MID0005,SID0005,870,487,35.8,2025/04/28,2025/05/12,2025/05/08,2,487,0,0,1,50.12
OID0111,MID0008,SID0007,891,407,106.53,2025/04/28,2025/05/13,2025/05/10,1,407,1,0,1,111.86
OID0112,MID0012,SID0011,760,327,221.24,2025/04/28,2025/05/07,2025/05/11,15,327,1,0,0,0
OID0113,MID0002,SID0002,1254,803,13,2025/04/28,2025/05/01,2025/05/05,5,803,0,0,0,0
OID0114,MID0016,SID0015,602,466,128.17,2025/04/29,2025/05/04,2025/05/06,1,466,0,0,0,0
OID0115,MID0025,SID0021,331,241,30.62,2025/04/29,2025/05/06,2025/05/07,1,241,0,0,0,0
OID0116,MID0008,SID0007,934,731,106.53,2025/04/29,2025/05/15,2025/05/13,3,731,1,0,1,74.57
OID0117,MID0007,SID0006,852,504,15.11,2025/04/29,2025/05/09,2025/05/07,0,504,1,0,1,10.58
OID0118,MID0020,SID0018,499,230,86.26,2025/04/29,2025/05/06,2025/05/09,22,0,1,1,0,0
OID0119,MID0003,SID0003,1128,559,62.12,2025/04/30,2025/05/12,2025/05/08,4,559,1,0,1,86.97
OID0120,MID0012,SID0011,750,538,221.24,2025/04/30,2025/05/06,2025/05/10,4,538,1,0,0,0
OID0121,MID0003,SID0003,1278,881,62.12,2025/04/30,2025/05/10,2025/05/14,32,881,1,0,0,0
OID0122,MID0010,SID0009,1041,555,28.19,2025/04/30,2025/05/04,2025/05/09,2,555,1,0,0,0
OID0123,MID0009,SID0001,1050,555,6.05,2025/05/01,2025/05/15,2025/05/11,2,555,1,0,1,8.47
OID0124,MID0016,SID0015,616,311,128.17,2025/05/01,2025/05/13,2025/05/10,1,311,1,0,1,134.58
OID0125,MID0005,SID0005,929,662,35.8,2025/05/01,2025/05/06,2025/05/10,2,662,0,0,0,0
OID0126,MID0011,SID0010,927,709,29.93,2025/05/01,2025/05/16,2025/05/13,4,709,0,0,1,31.43
OID0127,MID0025,SID0021,301,233,30.62,2025/05/02,2025/05/09,2025/05/14,2,233,1,0,0,0
OID0128,MID0025,SID0021,334,248,30.62,2025/05/02,2025/05/17,2025/05/13,1,248,1,0,1,42.87
OID0129,MID0001,SID0001,1028,555,239.42,2025/05/02,2025/05/18,2025/05/14,4,555,1,0,1,335.19
OID0130,MID0003,SID0003,1253,580,62.12,2025/05/02,2025/05/19,2025/05/16,5,580,1,0,1,65.23
OID0131,MID0003,SID0003,1159,756,62.12,2025/05/03,2025/05/09,2025/05/15,1,756,1,0,0,0
OID0132,MID0010,SID0009,1023,452,28.19,2025/05/03,2025/05/08,2025/05/10,4,452,1,0,0,0
OID0133,MID0003,SID0003,1109,437,62.12,2025/05/03,2025/05/11,2025/05/11,2,437,0,0,0,0
OID0134,MID0003,SID0003,1119,786,62.12,2025/05/03,2025/05/09,2025/05/11,0,786,1,0,0,0
OID0135,MID0019,SID0001,1148,527,6.13,2025/05/04,2025/05/11,2025/05/11,0,527,1,0,0,0
OID0136,MID0015,SID0014,675,279,42.91,2025/05/04,2025/05/13,2025/05/18,1,279,0,0,0,0
OID0137,MID0020,SID0018,533,256,86.26,2025/05/04,2025/05/09,2025/05/12,1,256,0,0,0,0
OID0138,MID0020,SID0018,526,205,86.26,2025/05/04,2025/05/16,2025/05/15,1,205,0,0,1,30.19
OID0139,MID0025,SID0021,326,194,30.62,2025/05/05,2025/05/15,2025/05/19,1,194,1,0,0,0
OID0140,MID0003,SID0003,1212,982,62.12,2025/05/05,2025/05/08,2025/05/14,4,982,1,0,0,0
OID0141,MID0004,SID0004,1435,631,2,2025/05/05,2025/05/20,2025/05/19,4,631,1,0,1,0.7
OID0142,MID0023,SID0021,301,198,312.55,2025/05/05,2025/05/09,2025/05/15,1,198,1,0,0,0
OID0143,MID0007,SID0006,857,501,15.11,2025/05/06,2025/05/15,2025/05/17,0,501,1,0,0,0
OID0144,MID0016,SID0015,643,383,128.17,2025/05/06,2025/05/14,2025/05/19,1,383,0,0,0,0
OID0145,MID0011,SID0010,976,609,29.93,2025/05/06,2025/05/15,2025/05/20,3,609,1,0,0,0
OID0146,MID0025,SID0021,330,214,30.62,2025/05/06,2025/05/15,2025/05/18,0,214,1,0,0,0
OID0147,MID0012,SID0011,752,497,221.24,2025/05/07,2025/05/13,2025/05/19,26,0,0,1,0,0
OID0148,MID0019,SID0001,1018,393,6.13,2025/05/07,2025/05/12,2025/05/15,2,393,1,0,0,0
OID0149,MID0012,SID0011,729,645,221.24,2025/05/07,2025/05/22,2025/05/18,2,645,1,0,1,309.74
OID0150,MID0007,SID0006,941,613,15.11,2025/05/07,2025/05/21,2025/05/20,3,613,1,0,1,5.29
OID0151,MID0023,SID0021,315,180,312.55,2025/05/08,2025/05/19,2025/05/21,0,180,1,0,0,0
OID0152,MID0015,SID0014,652,244,42.91,2025/05/08,2025/05/19,2025/05/18,0,244,1,0,1,15.02
OID0153,MID0010,SID0009,1119,715,28.19,2025/05/08,2025/05/22,2025/05/19,2,715,1,0,1,29.6
OID0154,MID0023,SID0021,344,164,312.55,2025/05/08,2025/05/16,2025/05/15,7,164,0,0,1,109.39
OID0155,MID0005,SID0005,896,350,35.8,2025/05/08,2025/05/15,2025/05/18,2,350,1,0,0,0
OID0156,MID0003,SID0003,1274,538,62.12,2025/05/09,2025/05/13,2025/05/19,4,538,1,0,0,0
OID0157,MID0015,SID0014,732,490,42.91,2025/05/09,2025/05/16,2025/05/21,1,490,1,0,0,0
OID0158,MID0001,SID0001,1142,644,239.42,2025/05/09,2025/05/17,2025/05/22,5,644,1,0,0,0
OID0159,MID0005,SID0005,882,623,35.8,2025/05/09,2025/05/20,2025/05/19,2,623,1,0,1,12.53
OID0160,MID0023,SID0021,307,273,312.55,2025/05/10,2025/05/20,2025/05/18,0,273,1,0,1,218.78
OID0161,MID0003,SID0003,1124,842,62.12,2025/05/10,2025/05/20,2025/05/23,1,842,0,0,0,0
OID0162,MID0012,SID0011,687,365,221.24,2025/05/10,2025/05/15,2025/05/20,3,365,0,0,0,0
OID0163,MID0015,SID0014,720,376,42.91,2025/05/10,2025/05/19,2025/05/17,32,0,1,1,1,30.04
OID0164,MID0023,SID0021,345,246,312.55,2025/05/11,2025/05/17,2025/05/20,2,246,1,0,0,0
OID0165,MID0001,SID0001,1117,787,239.42,2025/05/11,2025/05/19,2025/05/22,2,787,1,0,0,0
OID0166,MID0025,SID0021,312,178,30.62,2025/05/11,2025/05/15,2025/05/21,1,178,1,0,0,0
OID0167,MID0025,SID0021,341,162,30.62,2025/05/11,2025/05/12,2025/05/18,1,162,0,0,0,0
OID0168,MID0019,SID0021,334,166,6.13,2025/05/12,2025/05/18,2025/05/21,0,166,1,0,0,0
OID0169,MID0025,SID0021,304,172,30.62,2025/05/12,2025/05/20,2025/05/20,0,172,1,0,0,0
OID0170,MID0025,SID0021,323,188,30.62,2025/05/12,2025/05/28,2025/05/26,1,188,0,0,1,21.43
OID0171,MID0012,SID0011,793,546,221.24,2025/05/12,2025/05/25,2025/05/25,3,546,0,0,0,0
OID0172,MID0012,SID0011,752,267,221.24,2025/05/13,2025/05/24,2025/05/22,1,267,1,0,1,154.87
OID0173,MID0003,SID0003,1202,993,62.12,2025/05/13,2025/05/21,2025/05/27,4,993,1,0,0,0
OID0174,MID0012,SID0011,766,344,221.24,2025/05/13,2025/05/17,2025/05/23,0,344,1,0,0,0
OID0175,MID0025,SID0021,352,161,30.62,2025/05/13,2025/05/27,2025/05/25,0,161,0,0,1,21.43
OID0176,MID0003,SID0003,1133,650,62.12,2025/05/14,2025/05/24,2025/05/25,44,0,0,1,0,0
OID0177,MID0003,SID0003,1172,828,62.12,2025/05/14,2025/05/25,2025/05/27,5,828,1,0,0,0
OID0178,MID0015,SID0014,660,392,42.91,2025/05/14,2025/05/21,2025/05/21,3,392,1,0,0,0
OID0179,MID0005,SID0005,868,322,35.8,2025/05/14,2025/05/22,2025/05/28,2,322,1,0,0,0
OID0180,MID0016,SID0015,624,268,128.17,2025/05/15,2025/05/25,2025/05/24,2,268,1,0,1,44.86
OID0181,MID0012,SID0011,796,588,221.24,2025/05/15,2025/05/29,2025/05/28,5,588,1,0,1,77.43
OID0182,MID0023,SID0021,328,134,312.55,2025/05/15,2025/05/27,2025/05/24,1,134,1,0,1,328.18
OID0183,MID0008,SID0007,846,462,106.53,2025/05/15,2025/06/02,2025/05/29,20,462,1,0,1,149.14
OID0184,MID0007,SID0006,885,385,15.11,2025/05/16,2025/05/24,2025/05/23,2,385,1,0,1,5.29
OID0185,MID0015,SID0014,649,601,42.91,2025/05/16,2025/05/28,2025/05/25,5,601,1,0,1,45.06
OID0186,MID0011,SID0010,898,597,29.93,2025/05/16,2025/06/01,2025/05/28,3,597,1,0,1,41.9
OID0187,MID0003,SID0003,1137,717,62.12,2025/05/16,2025/05/23,2025/05/28,0,717,1,0,0,0
OID0188,MID0008,SID0007,933,471,106.53,2025/05/17,2025/05/26,2025/05/25,1,471,1,0,1,37.29
OID0189,MID0003,SID0003,1287,615,62.12,2025/05/17,2025/05/29,2025/05/26,4,615,0,0,1,65.23
OID0190,MID0016,SID0015,621,348,128.17,2025/05/17,2025/05/21,2025/05/27,1,348,1,0,0,0
OID0191,MID0023,SID0021,342,211,312.55,2025/05/17,2025/06/01,2025/05/28,0,211,1,0,1,437.57
OID0192,MID0003,SID0003,1149,995,62.12,2025/05/18,2025/05/22,2025/05/27,3,995,1,0,0,0
OID0193,MID0008,SID0007,916,681,106.53,2025/05/18,2025/05/25,2025/05/28,3,681,1,0,0,0
OID0194,MID0012,SID0011,767,542,221.24,2025/05/18,2025/05/27,2025/05/28,3,542,1,0,0,0
OID0195,MID0016,SID0015,597,432,128.17,2025/05/18,2025/05/25,2025/05/26,0,432,0,0,0,0
OID0196,MID0001,SID0001,1135,787,239.42,2025/05/18,2025/05/24,2025/05/27,6,787,1,0,0,0
OID0197,MID0010,SID0009,996,764,28.19,2025/05/19,2025/05/30,2025/06/02,6,764,0,0,0,0
OID0198,MID0005,SID0005,895,560,35.8,2025/05/19,2025/05/23,2025/05/29,1,560,1,0,0,0
OID0199,MID0007,SID0006,987,439,15.11,2025/05/19,2025/05/27,2025/06/01,0,439,1,0,0,0
OID0200,MID0001,SID0001,1125,661,239.42,2025/05/19,2025/06/03,2025/05/31,0,661,1,0,1,251.39
OID0201,MID0001,SID0001,1141,650,239.42,2025/05/20,2025/06/03,2025/06/01,3,650,1,0,1,167.59
OID0202,MID0010,SID0009,1008,550,28.19,2025/05/20,2025/05/28,2025/06/03,0,550,0,0,0,0
OID0203,MID0005,SID0005,837,537,35.8,2025/05/20,2025/06/03,2025/06/01,4,537,1,0,1,25.06
OID0204,MID0010,SID0009,1108,425,28.19,2025/05/20,2025/06/02,2025/06/03,3,425,0,0,0,0
OID0205,MID0012,SID0011,761,595,221.24,2025/05/21,2025/05/23,2025/05/28,1,595,1,0,0,0
OID0206,MID0005,SID0005,876,477,35.8,2025/05/21,2025/05/25,2025/05/30,1,477,1,0,0,0
OID0207,MID0003,SID0003,1261,476,62.12,2025/05/21,2025/06/03,2025/06/01,1,476,0,0,1,43.48
OID0208,MID0005,SID0005,895,346,35.8,2025/05/21,2025/06/07,2025/06/03,1,346,0,0,1,50.12
OID0209,MID0023,SID0021,313,172,312.55,2025/05/22,2025/05/28,2025/05/30,6,172,1,0,0,0
OID0210,MID0022,SID0020,505,469,1,2025/05/22,2025/05/29,2025/05/31,0,469,1,0,0,0
OID0211,MID0001,SID0001,1145,854,239.42,2025/05/22,2025/06/03,2025/05/31,34,854,1,0,1,251.39
OID0212,MID0023,SID0021,340,154,312.55,2025/05/22,2025/06/03,2025/06/01,0,154,1,0,1,218.78
OID0213,MID0005,SID0005,866,660,35.8,2025/05/23,2025/06/01,2025/06/03,5,660,0,0,0,0
OID0214,MID0001,SID0001,1002,752,239.42,2025/05/23,2025/05/31,2025/06/02,42,0,1,1,0,0
OID0215,MID0008,SID0007,809,307,106.53,2025/05/23,2025/05/30,2025/06/05,1,307,1,0,0,0
OID0216,MID0015,SID0014,642,559,42.91,2025/05/23,2025/06/01,2025/06/03,3,559,1,0,0,0
OID0217,MID0012,SID0011,710,307,221.24,2025/05/24,2025/05/25,2025/05/31,11,307,1,0,0,0
OID0218,MID0017,SID0016,816,300,7,2025/05/24,2025/05/30,2025/06/02,2,300,1,0,0,0
OID0219,MID0008,SID0007,832,571,106.53,2025/05/24,2025/06/03,2025/06/02,4,571,0,0,1,37.29
OID0220,MID0012,SID0011,795,495,221.24,2025/05/24,2025/05/27,2025/06/01,4,495,0,0,0,0
OID0221,MID0008,SID0007,914,846,106.53,2025/05/25,2025/06/02,2025/06/01,7,846,1,0,1,37.29
OID0222,MID0005,SID0005,810,506,35.8,2025/05/25,2025/06/04,2025/06/06,0,506,0,0,0,0
OID0223,MID0010,SID0009,1039,743,28.19,2025/05/25,2025/06/06,2025/06/05,1,743,1,0,1,9.87
OID0224,MID0025,SID0021,326,123,30.62,2025/05/25,2025/06/04,2025/06/03,0,123,1,0,1,10.72
OID0225,MID0016,SID0015,662,381,128.17,2025/05/26,2025/06/10,2025/06/08,1,381,1,0,1,89.72
OID0226,MID0014,SID0013,843,479,6,2025/05/26,2025/06/08,2025/06/07,44,0,1,1,1,2.1
OID0227,MID0008,SID0007,865,504,106.53,2025/05/26,2025/06/04,2025/06/09,3,504,1,0,0,0
OID0228,MID0008,SID0007,871,322,106.53,2025/05/26,2025/06/04,2025/06/08,1,322,1,0,0,0
OID0229,MID0015,SID0014,728,353,42.91,2025/05/27,2025/06/10,2025/06/06,2,353,0,0,1,60.07
OID0230,MID0012,SID0011,784,674,221.24,2025/05/27,2025/06/06,2025/06/10,5,674,1,0,0,0
OID0231,MID0020,SID0018,528,419,86.26,2025/05/27,2025/06/02,2025/06/03,2,419,1,0,0,0
OID0232,MID0025,SID0021,308,198,30.62,2025/05/27,2025/06/07,2025/06/08,0,198,1,0,0,0
OID0233,MID0010,SID0009,1055,784,28.19,2025/05/27,2025/06/02,2025/06/04,2,784,1,0,0,0
OID0234,MID0020,SID0018,481,345,86.26,2025/05/28,2025/06/06,2025/06/10,3,345,1,0,0,0
OID0235,MID0016,SID0015,669,512,128.17,2025/05/28,2025/06/08,2025/06/11,3,512,1,0,0,0
OID0236,MID0005,SID0005,926,658,35.8,2025/05/28,2025/06/07,2025/06/11,4,658,1,0,0,0
OID0237,MID0021,SID0019,390,240,12,2025/05/28,2025/06/02,2025/06/08,0,240,1,0,0,0
OID0238,MID0015,SID0014,676,276,42.91,2025/05/29,2025/06/08,2025/06/09,1,276,0,0,0,0
OID0239,MID0005,SID0005,834,371,35.8,2025/05/29,2025/06/11,2025/06/07,1,371,1,0,1,50.12
OID0240,MID0015,SID0014,725,537,42.91,2025/05/29,2025/06/04,2025/06/05,0,537,1,0,0,0
OID0241,MID0003,SID0003,1227,958,62.12,2025/05/29,2025/05/31,2025/06/06,8,958,1,0,0,0
