date,supplier_available_nodes,supplier_degraded_nodes,supplier_disrupted_nodes,material_available_nodes,material_affected_nodes,material_blocked_nodes,assembly_available_nodes,assembly_affected_nodes,assembly_blocked_nodes,product_available_nodes,product_affected_nodes,product_blocked_nodes,supplier_network_active_edges,supplier_network_disrupted_edges,supply_edge_active,supply_edge_backup_active,supply_edge_disrupted,supply_edge_standby,bom_edge_active,bom_edge_disrupted,alternative_edge_standby,alternative_edge_substituted,unknown_edge_count
2025-07-07,12,0,9,9,0,0,13,0,0,1,0,0,25,91,22,1,0,33,39,0,2,0,0
2025-07-08,12,0,9,9,0,0,13,0,0,1,0,0,25,91,22,1,0,33,39,0,2,0,0
2025-07-09,12,0,9,9,0,0,13,0,0,1,0,0,25,91,22,1,0,33,39,0,2,0,0
2025-07-10,13,0,8,9,0,0,13,0,0,1,0,0,37,79,22,1,0,33,39,0,2,0,0
2025-07-11,14,0,7,9,0,0,13,0,0,1,0,0,44,72,22,1,0,33,39,0,2,0,0
2025-07-12,14,0,7,9,0,0,13,0,0,1,0,0,44,72,22,1,0,33,39,0,2,0,0
2025-07-13,14,0,7,9,0,0,13,0,0,1,0,0,44,72,22,1,0,33,39,0,2,0,0
2025-07-14,14,0,7,9,0,0,13,0,0,1,0,0,44,72,22,1,0,33,39,0,2,0,0
2025-07-15,15,0,6,9,0,0,13,0,0,1,0,0,58,58,22,1,0,33,39,0,2,0,0
2025-07-16,16,0,5,9,0,0,13,0,0,1,0,0,68,48,22,1,0,33,39,0,2,0,0
2025-07-17,16,0,5,9,0,0,13,0,0,1,0,0,68,48,22,1,0,33,39,0,2,0,0
2025-07-18,16,0,5,9,0,0,13,0,0,1,0,0,68,48,22,1,0,33,39,0,2,0,0
2025-07-19,16,0,5,9,0,0,13,0,0,1,0,0,68,48,22,1,0,33,39,0,2,0,0
2025-07-20,16,0,5,9,0,0,13,0,0,1,0,0,68,48,22,1,0,33,39,0,2,0,0
2025-07-21,16,0,5,9,0,0,13,0,0,1,0,0,68,48,22,1,0,33,39,0,2,0,0
2025-07-22,16,0,5,9,0,0,13,0,0,1,0,0,68,48,22,1,0,33,39,0,2,0,0
2025-07-23,16,0,5,9,0,0,13,0,0,1,0,0,68,48,22,1,0,33,39,0,2,0,0
2025-07-24,16,0,5,9,0,0,13,0,0,1,0,0,68,48,22,1,0,33,39,0,2,0,0
2025-07-25,17,0,4,9,0,0,13,0,0,1,0,0,79,37,22,1,0,33,39,0,2,0,0
2025-07-26,17,0,4,9,0,0,13,0,0,1,0,0,79,37,22,1,0,33,39,0,2,0,0
2025-07-27,17,0,4,9,0,0,13,0,0,1,0,0,79,37,22,1,0,33,39,0,2,0,0
2025-07-28,17,0,4,9,0,0,13,0,0,1,0,0,79,37,22,1,0,33,39,0,2,0,0
2025-07-29,17,0,4,9,0,0,13,0,0,1,0,0,79,37,22,1,0,33,39,0,2,0,0
2025-07-30,18,0,3,9,0,0,13,0,0,1,0,0,91,25,22,1,0,33,39,0,2,0,0
2025-07-31,18,0,3,9,0,0,13,0,0,1,0,0,91,25,22,1,0,33,39,0,2,0,0
2025-08-01,18,0,3,9,0,0,13,0,0,1,0,0,91,25,22,1,0,33,39,0,2,0,0
2025-08-02,18,0,3,9,0,0,13,0,0,1,0,0,91,25,22,1,0,33,39,0,2,0,0
2025-08-03,18,0,3,9,0,0,13,0,0,1,0,0,91,25,22,1,0,33,39,0,2,0,0
2025-08-04,19,0,2,9,0,0,13,0,0,1,0,0,96,20,22,1,0,33,39,0,2,0,0
2025-08-05,19,0,2,9,0,0,13,0,0,1,0,0,96,20,22,1,0,33,39,0,2,0,0
2025-08-06,19,0,2,9,0,0,13,0,0,1,0,0,96,20,22,1,0,33,39,0,2,0,0
2025-08-07,19,0,2,9,0,0,13,0,0,1,0,0,96,20,22,1,0,33,39,0,2,0,0
2025-08-08,19,0,2,9,0,0,13,0,0,1,0,0,96,20,22,1,0,33,39,0,2,0,0
2025-08-09,20,0,1,9,0,0,13,0,0,1,0,0,108,8,22,1,0,33,39,0,2,0,0
2025-08-10,21,0,0,9,0,0,13,0,0,1,0,0,116,0,22,1,0,33,39,0,2,0,0
2025-08-11,21,0,0,9,0,0,13,0,0,1,0,0,116,0,22,1,0,33,39,0,2,0,0
2025-08-12,21,0,0,9,0,0,13,0,0,1,0,0,116,0,22,1,0,33,39,0,2,0,0
2025-08-13,21,0,0,9,0,0,13,0,0,1,0,0,116,0,22,1,0,33,39,0,2,0,0
